backend,signal_source,polarity,raw_auc_high_means_fake,effective_auc,selected_policy,strict_gate_met,relaxed_gate_met,threshold,t_on,t_off,persistence_windows,real_only_false_alerts_per_min,real_only_false_alert_time_ratio,target_recall,target_ttfd_s,precision,recall,f1,false_alerts_per_min,false_alert_time_ratio,time_to_first_detection_s,alert_flicker,tp_windows,fp_windows,fn_windows,tn_windows,predicted_alert_segments,false_alert_segments,fake_segments,detected_fake_segments,real_minutes,alert_active_minutes,alert_transitions,missing_windows,scored_windows,held_windows,missing_rate,run_count
efficientnet_b4,score_raw,high,0.551136,0.551136,strict_0.10,True,True,0.4,0.4,0.30000000000000004,2,0.0,0.0,0.275,12.113712,0.578947,0.275,0.372881,0.193966,0.181034,12.113712,0.597015,11,8,29,36,5,6,104,34,30.933333,13.4,8,0,84,0,0.0,6
effort_clip_l14,score_raw,high,0.611932,0.611932,strict_0.10,True,True,0.87,0.87,0.77,3,0.0,0.0,0.325,10.91251,0.40625,0.325,0.361111,0.290948,0.424569,10.91251,0.132353,13,19,27,25,3,9,104,44,30.933333,22.666667,3,0,84,0,0.0,6
f3net,score_raw,high,0.665909,0.665909,strict_0.10,True,True,0.59,0.59,0.49,1,0.0,0.0,0.525,9.339712,0.724138,0.525,0.608696,0.193966,0.172414,9.339712,1.302251,21,8,19,36,16,6,104,51,30.933333,20.733333,27,0,84,0,0.0,6
i3d,score_raw,low,0.449432,0.550568,strict_0.10,True,True,0.31,0.31,0.26,3,0.0,0.0,0.525,9.120644,0.75,0.525,0.617647,0.161638,0.148707,9.120644,0.152027,21,7,19,37,3,5,104,48,30.933333,19.733333,3,0,84,0,0.0,6
videomae,score_raw,high,0.5625,0.5625,strict_0.10,True,True,0.42,0.42,0.42,3,0.0,0.0,0.45,9.525288,0.473684,0.45,0.461538,0.355603,0.439655,9.525288,0.188442,18,20,22,24,5,11,104,52,30.933333,26.533333,5,0,84,0,0.0,6
xception_df40,score_raw,low,0.451136,0.548864,strict_0.10,True,True,0.23,0.23,0.13,3,0.1,0.046667,0.475,9.333317,0.558824,0.475,0.513514,0.290948,0.3125,9.333317,0.257143,19,15,21,29,6,9,104,51,30.933333,23.333333,6,0,84,0,0.0,6
