rank,winner,backend,signal_source,polarity,selected_policy,strict_gate_met,relaxed_gate_met,persistence_windows,t_on,t_off,precision,recall,f1,false_alerts_per_min,false_alert_time_ratio,time_to_first_detection_s,alert_flicker,tp_windows,fp_windows,fn_windows,tn_windows,predicted_alert_segments,false_alert_segments,fake_segments,detected_fake_segments,real_minutes,alert_active_minutes,alert_transitions,missing_windows,scored_windows,held_windows,missing_rate,run_count
1,True,i3d,score_raw,low,strict_0.10,True,True,2,0.32,0.27,0.0,0.0,0.0,0.0,0.0,17.857143,0.0,0,0,28,27,0,0,84,0,24.416667,0.0,0,0,55,0,0.0,5
2,False,videomae,score_raw,low,strict_0.10,True,True,2,0.56,0.51,0.75,0.321429,0.45,0.081911,0.109215,12.352964,0.458015,9,3,19,24,3,2,84,25,24.416667,10.916667,5,0,55,0,0.0,5
3,False,efficientnet_b4,score_raw,high,strict_0.10,True,True,2,0.37,0.27,0.1,0.035714,0.052632,0.122867,0.334471,16.910238,0.550459,1,9,27,18,3,3,84,3,24.416667,9.083333,5,0,55,0,0.0,5
4,False,f3net,score_raw,high,strict_0.10,True,True,1,0.62,0.52,0.636364,0.5,0.56,0.163823,0.296928,8.497583,0.59751,14,8,14,19,7,4,84,48,24.416667,20.083333,12,0,55,0,0.0,5
5,False,effort_clip_l14,score_raw,high,strict_0.10,True,True,3,0.78,0.78,0.392857,0.392857,0.392857,0.204778,0.627986,10.012143,0.157895,11,17,17,10,4,5,84,39,24.416667,25.333333,4,0,55,0,0.0,5
6,False,xception_df40,score_raw,low,strict_0.10,True,True,3,0.18,0.18,0.62963,0.607143,0.618182,0.245734,0.368601,6.577369,0.204082,17,10,11,17,4,6,84,52,24.416667,24.5,5,0,55,0,0.0,5
