rank,winner,backend,signal_source,polarity,selected_policy,strict_gate_met,relaxed_gate_met,persistence_windows,t_on,t_off,precision,recall,f1,false_alerts_per_min,false_alert_time_ratio,time_to_first_detection_s,alert_flicker,tp_windows,fp_windows,fn_windows,tn_windows,predicted_alert_segments,false_alert_segments,fake_segments,detected_fake_segments,real_minutes,alert_active_minutes,alert_transitions,missing_windows,scored_windows,held_windows,missing_rate,run_count
1,True,effort_clip_l14,score_raw,high,strict_0.10,True,True,3,0.97,0.87,0.551724,0.253968,0.347826,0.17316,0.209235,12.297274,0.509915,16,13,47,44,4,4,84,28,23.1,11.766667,6,0,120,0,0.0,5
2,False,efficientnet_b4,score_raw,high,strict_0.10,True,True,3,0.37,0.27,0.342105,0.206349,0.257426,0.17316,0.434343,14.966976,0.327511,13,25,50,32,4,4,84,15,23.1,15.266667,5,0,120,0,0.0,5
3,False,i3d,score_raw,low,strict_0.10,True,True,2,0.32,0.27,0.658537,0.428571,0.519231,0.21645,0.227994,10.183821,0.181087,27,14,36,43,3,5,84,34,23.1,16.566667,3,1,119,0,0.008333,5
4,False,xception_df40,score_raw,high,strict_0.10,True,True,2,0.89,0.79,0.409091,0.285714,0.336449,0.25974,0.453102,11.940762,0.437956,18,26,45,31,5,6,84,33,23.1,18.266667,8,0,120,0,0.0,5
5,False,videomae,score_raw,low,strict_0.10,True,True,3,0.5,0.45,0.507937,0.507937,0.507937,0.30303,0.546898,8.962905,0.344828,32,31,31,26,6,7,84,41,23.1,26.1,9,0,120,0,0.0,5
6,False,f3net,score_raw,high,strict_0.10,True,True,3,0.53,0.43000000000000005,0.581818,0.507937,0.542373,0.38961,0.396825,8.715405,0.486009,32,23,31,34,7,9,84,47,23.1,22.633333,11,0,120,0,0.0,5
