backend,old_status,new_status,old_policy,new_policy,operating_point_changed,old_polarity,new_polarity,old_threshold,new_threshold,old_t_on,new_t_on,old_t_off,new_t_off,old_persistence_windows,new_persistence_windows,old_calibration_fpr_real,new_calibration_fpr_real,old_validation_auroc,new_validation_auroc,old_validation_f1,new_validation_f1,old_validation_recall,new_validation_recall,old_validation_false_alerts_per_min,new_validation_false_alerts_per_min,old_test_auroc,new_test_auroc,old_test_f1,new_test_f1,old_test_recall,new_test_recall,old_test_false_alerts_per_min,new_test_false_alerts_per_min,val_auroc_change,val_f1_change,val_recall_change,val_fa_per_min_change,test_auroc_change,test_f1_change,test_recall_change,test_fa_per_min_change
efficientnet_b4,selected,selected,strict_bootstrap_ucb_gate,strict_fpr_gate,True,high,high,0.83,0.75,0.83,0.75,0.78,0.65,2,3,,0.043902,0.556923,0.556923,0.235294,0.19469,0.137255,0.107843,0.122449,0.0,0.580823,0.580823,0.156522,0.201681,0.087379,0.116505,0.082474,0.082474,unchanged,worsened,worsened,improved,unchanged,improved,improved,unchanged
effort_clip_l14,selected,selected,strict_bootstrap_ucb_gate,strict_fpr_gate,True,high,high,0.51,0.51,0.51,0.51,0.51,0.51,1,1,,0.0,0.532913,0.532913,0.0,0.0,0.0,0.0,0.0,0.0,0.627765,0.627765,0.0,0.0,0.0,0.0,0.0,0.0,unchanged,unchanged,unchanged,unchanged,unchanged,unchanged,unchanged,unchanged
f3net,selected,selected,strict_bootstrap_ucb_gate,strict_fpr_gate,True,high,high,0.92,0.78,0.92,0.78,0.92,0.68,2,2,,0.043902,0.598539,0.598539,0.19469,0.5,0.107843,0.362745,0.0,0.326531,0.696827,0.696827,0.091743,0.388489,0.048544,0.262136,0.041237,0.247423,unchanged,improved,improved,worsened,unchanged,improved,improved,worsened
i3d,selected,selected,strict_bootstrap_ucb_gate,strict_fpr_gate,True,low,low,0.34,0.35,0.34,0.35,0.34,0.35,3,2,,0.043902,0.47419,0.47419,0.071429,0.114754,0.039216,0.068627,0.244898,0.326531,0.465419,0.465419,0.2,0.152542,0.116505,0.087379,0.206186,0.206186,unchanged,improved,improved,worsened,unchanged,worsened,worsened,unchanged
videomae,selected,selected,strict_bootstrap_ucb_gate,strict_fpr_gate,True,low,low,0.52,0.51,0.52,0.51,0.52,0.46,1,3,,0.029268,0.5,0.5,0.0,0.651163,0.0,0.54902,0.0,0.408163,0.420078,0.420078,0.0,0.056604,0.0,0.029126,0.0,0.0,unchanged,improved,improved,worsened,unchanged,improved,improved,unchanged
xception_df40,selected,selected,strict_bootstrap_ucb_gate,strict_fpr_gate,True,high,high,0.95,0.83,0.95,0.83,0.85,0.78,3,3,,0.04878,0.561325,0.561325,0.19469,0.54878,0.107843,0.441176,0.0,0.530612,0.63367,0.63367,0.365079,0.408759,0.223301,0.271845,0.0,0.164948,unchanged,improved,improved,worsened,unchanged,improved,improved,worsened
