backend,scope,signal_source,polarity,auc_high_means_fake,effective_auc,real_count,fake_count,real_mean,real_std,real_p05,real_p25,real_p50,real_p75,real_p95,fake_mean,fake_std,fake_p05,fake_p25,fake_p50,fake_p75,fake_p95,mean_gap_fake_minus_real
efficientnet_b4,calibration,score_raw,high,0.50517,0.50517,92,82,0.343772,0.123532,0.152002,0.263299,0.339641,0.432209,0.548275,0.345988,0.145588,0.116594,0.230624,0.345433,0.453846,0.5591,0.002216
efficientnet_b4,all,score_raw,high,0.483367,0.483367,236,228,0.344944,0.140044,0.152879,0.239402,0.324331,0.435237,0.584323,0.337658,0.151793,0.116563,0.22611,0.323582,0.445251,0.566533,-0.007286
effort_clip_l14,calibration,score_raw,low,0.491782,0.508218,92,82,0.832667,0.183221,0.496871,0.738791,0.896263,0.983387,0.998484,0.80487,0.233228,0.328444,0.671532,0.92196,0.978472,0.999268,-0.027797
effort_clip_l14,all,score_raw,low,0.515741,0.484259,236,228,0.808842,0.228884,0.277263,0.711703,0.908114,0.982475,0.998588,0.822736,0.218137,0.341373,0.734792,0.915675,0.980514,0.999066,0.013894
f3net,calibration,score_raw,high,0.593849,0.593849,92,82,0.491118,0.174662,0.223967,0.371423,0.478269,0.612482,0.764408,0.551445,0.210714,0.152308,0.388551,0.591452,0.699766,0.865104,0.060327
f3net,all,score_raw,high,0.594205,0.594205,236,228,0.497717,0.180555,0.216899,0.371423,0.496782,0.619942,0.816434,0.562122,0.202515,0.244892,0.412612,0.572973,0.695496,0.925024,0.064405
i3d,calibration,score_raw,low,0.463547,0.536453,92,82,0.693564,0.032857,0.617723,0.678984,0.699857,0.717449,0.72961,0.689907,0.033964,0.623131,0.672096,0.6916,0.717273,0.729563,-0.003656
i3d,all,score_raw,low,0.474609,0.525391,235,227,0.695702,0.030128,0.634678,0.679903,0.702492,0.7178,0.729591,0.693392,0.030656,0.63664,0.677884,0.699096,0.717494,0.72962,-0.002309
videomae,calibration,score_raw,low,0.458775,0.541225,92,82,0.484571,0.173696,0.205295,0.37274,0.49314,0.596446,0.767636,0.445992,0.230667,0.047565,0.240601,0.456447,0.638287,0.790176,-0.038579
videomae,all,score_raw,low,0.45155,0.54845,236,228,0.472125,0.198787,0.124394,0.342531,0.482673,0.611815,0.8036,0.43324,0.226645,0.043631,0.256133,0.442366,0.58534,0.798671,-0.038885
xception_df40,calibration,score_raw,low,0.415827,0.584173,92,82,0.739661,0.21678,0.310334,0.640482,0.797757,0.895087,0.981956,0.676999,0.239362,0.162801,0.532844,0.746835,0.86121,0.966772,-0.062662
xception_df40,all,score_raw,low,0.503531,0.496469,236,228,0.734901,0.21791,0.303868,0.60217,0.78423,0.914952,0.988802,0.731875,0.234106,0.18892,0.625459,0.786668,0.919162,0.98994,-0.003025
