backend,scope,signal_source,polarity,auc_high_means_fake,effective_auc,real_count,fake_count,real_mean,real_std,real_p05,real_p25,real_p50,real_p75,real_p95,fake_mean,fake_std,fake_p05,fake_p25,fake_p50,fake_p75,fake_p95,mean_gap_fake_minus_real
efficientnet_b4,calibration,score_raw,high,0.608699,0.608699,297,245,0.523554,0.221987,0.186025,0.355446,0.496329,0.695799,0.904585,0.603991,0.21399,0.22052,0.442048,0.611701,0.763704,0.946292,0.080438
efficientnet_b4,all,score_raw,high,0.574209,0.574209,594,548,0.520148,0.223808,0.179152,0.351311,0.499628,0.698785,0.902596,0.577279,0.233343,0.172187,0.413196,0.582236,0.763347,0.95177,0.057132
effort_clip_l14,calibration,score_raw,high,0.51724,0.51724,297,245,0.50293,2.2e-05,0.502901,0.502926,0.502935,0.502942,0.50295,0.502934,1.3e-05,0.502912,0.502926,0.502935,0.502942,0.50295,3e-06
effort_clip_l14,all,score_raw,high,0.531633,0.531633,594,548,0.502932,2e-05,0.502903,0.502926,0.502936,0.502942,0.502952,0.502934,1.7e-05,0.502913,0.502927,0.502937,0.502944,0.502952,2e-06
f3net,calibration,score_raw,high,0.592593,0.592593,297,245,0.513375,0.246497,0.126239,0.33711,0.495563,0.706073,0.932935,0.592447,0.243793,0.163658,0.392366,0.605579,0.80333,0.957348,0.079072
f3net,all,score_raw,high,0.605815,0.605815,594,548,0.509888,0.252811,0.097375,0.31886,0.510106,0.695465,0.93655,0.604959,0.256378,0.149944,0.401403,0.622744,0.81934,0.974447,0.09507
i3d,calibration,score_raw,high,0.542129,0.542129,297,245,0.685449,0.031197,0.633336,0.662903,0.68635,0.712145,0.72897,0.690622,0.02721,0.640457,0.671572,0.693707,0.712965,0.728091,0.005173
i3d,all,score_raw,high,0.534973,0.534973,594,548,0.685492,0.032039,0.633184,0.66102,0.688165,0.713192,0.729443,0.689778,0.02899,0.637848,0.670229,0.692397,0.714448,0.729825,0.004286
videomae,calibration,score_raw,low,0.480382,0.519618,297,245,0.496387,0.007262,0.488124,0.491714,0.49368,0.500973,0.511036,0.49599,0.007164,0.488277,0.491328,0.493214,0.499494,0.511308,-0.000397
videomae,all,score_raw,low,0.499975,0.500025,594,548,0.496401,0.007311,0.488115,0.491581,0.493742,0.500339,0.511476,0.496426,0.007415,0.487629,0.491538,0.493712,0.500357,0.511713,2.5e-05
xception_df40,calibration,score_raw,high,0.60547,0.60547,297,245,0.606666,0.264678,0.15099,0.384685,0.637371,0.830035,0.982659,0.699904,0.2535,0.185181,0.525943,0.770958,0.914728,0.98967,0.093238
xception_df40,all,score_raw,high,0.593864,0.593864,594,548,0.615253,0.266504,0.146865,0.395349,0.65781,0.850695,0.978533,0.695795,0.260397,0.176097,0.523351,0.768858,0.921912,0.992941,0.080542
