backend,old_status,new_status,old_policy,new_policy,operating_point_changed,old_polarity,new_polarity,old_threshold,new_threshold,old_t_on,new_t_on,old_t_off,new_t_off,old_persistence_windows,new_persistence_windows,old_calibration_fpr_real,new_calibration_fpr_real,old_validation_auroc,new_validation_auroc,old_validation_f1,new_validation_f1,old_validation_recall,new_validation_recall,old_validation_false_alerts_per_min,new_validation_false_alerts_per_min,old_test_auroc,new_test_auroc,old_test_f1,new_test_f1,old_test_recall,new_test_recall,old_test_false_alerts_per_min,new_test_false_alerts_per_min,val_auroc_change,val_f1_change,val_recall_change,val_fa_per_min_change,test_auroc_change,test_f1_change,test_recall_change,test_fa_per_min_change
efficientnet_b4,selected,selected,strict_bootstrap_ucb_gate,strict_fpr_gate,True,high,high,0.83,0.77,0.83,0.77,0.78,0.77,3,3,,0.047138,0.535073,0.535073,0.237288,0.284153,0.138158,0.171053,0.121622,0.162162,0.562247,0.562247,0.169697,0.191011,0.092715,0.112583,0.0,0.120805,unchanged,improved,improved,worsened,unchanged,improved,improved,worsened
effort_clip_l14,selected,selected,strict_bootstrap_ucb_gate,strict_fpr_gate,True,high,high,0.51,0.51,0.51,0.51,0.51,0.51,1,1,,0.0,0.50889,0.50889,0.0,0.0,0.0,0.0,0.0,0.0,0.571359,0.571359,0.0,0.0,0.0,0.0,0.0,0.0,unchanged,unchanged,unchanged,unchanged,unchanged,unchanged,unchanged,unchanged
f3net,selected,selected,strict_bootstrap_ucb_gate,strict_fpr_gate,True,high,high,0.94,0.82,0.94,0.82,0.94,0.77,2,2,,0.047138,0.576769,0.576769,0.301676,0.478873,0.177632,0.335526,0.0,0.202703,0.658696,0.658696,0.190476,0.406091,0.10596,0.264901,0.040268,0.161074,unchanged,improved,improved,worsened,unchanged,improved,improved,worsened
i3d,selected,selected,strict_bootstrap_ucb_gate,strict_fpr_gate,True,high,high,0.73,0.73,0.73,0.73,0.73,0.63,2,2,,0.043771,0.508135,0.508135,0.062893,0.204082,0.032895,0.131579,0.040541,0.445946,0.550513,0.550513,0.08805,0.419048,0.046358,0.291391,0.040268,0.402685,unchanged,improved,improved,worsened,unchanged,improved,improved,worsened
videomae,selected,selected,strict_bootstrap_ucb_gate,strict_fpr_gate,True,low,low,0.52,0.51,0.52,0.51,0.52,0.51,1,3,,0.037037,0.531339,0.531339,0.0,0.130952,0.0,0.072368,0.0,0.121622,0.437531,0.437531,0.0,0.095808,0.0,0.05298,0.0,0.161074,unchanged,improved,improved,worsened,unchanged,improved,improved,worsened
xception_df40,selected,selected,strict_bootstrap_ucb_gate,strict_fpr_gate,True,high,high,0.98,0.95,0.98,0.95,0.98,0.95,3,2,,0.040404,0.553654,0.553654,0.189349,0.268156,0.105263,0.157895,0.040541,0.081081,0.609405,0.609405,0.145455,0.27933,0.07947,0.165563,0.040268,0.080537,unchanged,improved,improved,worsened,unchanged,improved,improved,worsened
