backend,split,precision,recall,f1,false_alerts_per_min,false_alert_time_ratio,time_to_first_detection_s,alert_flicker,tp_windows,fp_windows,fn_windows,tn_windows,predicted_alert_segments,false_alert_segments,fake_segments,detected_fake_segments,real_minutes,alert_active_minutes,alert_transitions,missing_windows,scored_windows,held_windows,missing_rate,run_count
always_real,validation,0.0,0.0,0.0,0.0,0.0,17.857143,0.0,0,0,474,486,0,0,504,0,151.5,0.0,0,2,958,0,0.002083,30
always_real,test,0.0,0.0,0.0,0.0,0.0,18.292707,0.0,0,0,432,528,0,0,492,0,164.0,0.0,0,0,960,0,0.0,30
always_fake,validation,0.49375,1.0,0.661088,1.267327,1.0,0.0,0.0,474,486,0,0,30,192,504,504,151.5,300.0,0,2,958,0,0.002083,30
always_fake,test,0.45,1.0,0.62069,1.280488,1.0,0.0,0.0,432,528,0,0,30,210,492,492,164.0,300.0,0,0,960,0,0.0,30
