backend,scope,signal_source,polarity,auc_high_means_fake,effective_auc,real_count,fake_count,real_mean,real_std,real_p05,real_p25,real_p50,real_p75,real_p95,fake_mean,fake_std,fake_p05,fake_p25,fake_p50,fake_p75,fake_p95,mean_gap_fake_minus_real
efficientnet_b4,calibration,score_raw,high,0.502703,0.502703,35,37,0.338658,0.103124,0.16317,0.267993,0.361628,0.414425,0.487351,0.351144,0.116652,0.168007,0.300827,0.344642,0.409249,0.523604,0.012485
efficientnet_b4,all,score_raw,high,0.461046,0.461046,96,96,0.34508,0.095878,0.200674,0.273916,0.345602,0.413012,0.49144,0.338531,0.12968,0.15802,0.235024,0.338405,0.414106,0.572458,-0.006549
effort_clip_l14,calibration,score_raw,low,0.499614,0.500386,35,37,0.811463,0.186872,0.557463,0.732429,0.846334,0.954047,0.991579,0.822675,0.156695,0.631002,0.73267,0.852211,0.934304,0.992637,0.011212
effort_clip_l14,all,score_raw,low,0.523112,0.476888,96,96,0.802002,0.19441,0.465995,0.737355,0.847423,0.951474,0.988964,0.826889,0.15569,0.526451,0.732432,0.867205,0.948149,0.993751,0.024887
f3net,calibration,score_raw,high,0.549807,0.549807,35,37,0.496525,0.155424,0.273095,0.404331,0.494301,0.604818,0.741086,0.536437,0.16867,0.262934,0.417326,0.525625,0.644654,0.802419,0.039912
f3net,all,score_raw,high,0.606011,0.606011,96,96,0.490847,0.145957,0.270278,0.401179,0.509215,0.595818,0.721359,0.561879,0.159482,0.334135,0.464021,0.53445,0.667771,0.847606,0.071032
i3d,calibration,score_raw,low,0.427027,0.572973,35,37,0.695926,0.021488,0.650547,0.686717,0.698542,0.712121,0.724163,0.690157,0.022452,0.662053,0.669894,0.695394,0.707284,0.726968,-0.005769
i3d,all,score_raw,low,0.482096,0.517904,96,96,0.696808,0.020406,0.660715,0.685557,0.698644,0.711442,0.728386,0.695006,0.020667,0.662928,0.678635,0.700647,0.711017,0.723208,-0.001802
videomae,calibration,score_raw,low,0.468726,0.531274,35,37,0.476879,0.121802,0.275325,0.392421,0.466726,0.56705,0.678574,0.465985,0.161218,0.237727,0.348233,0.476333,0.577391,0.731524,-0.010894
videomae,all,score_raw,low,0.49924,0.50076,96,96,0.455544,0.137847,0.217323,0.371934,0.463583,0.549793,0.667928,0.452301,0.175821,0.16408,0.342049,0.467061,0.579787,0.72152,-0.003244
xception_df40,calibration,score_raw,low,0.411583,0.588417,35,37,0.737939,0.150428,0.45639,0.62087,0.765667,0.870929,0.938942,0.69202,0.154115,0.455064,0.574412,0.682229,0.82601,0.942768,-0.04592
xception_df40,all,score_raw,low,0.469727,0.530273,96,96,0.743847,0.174173,0.44813,0.634663,0.771618,0.876997,0.974213,0.723958,0.182198,0.420351,0.608199,0.756299,0.854232,0.97159,-0.01989
