backend,signal_source,polarity,raw_auc_high_means_fake,effective_auc,selected_policy,strict_gate_met,relaxed_gate_met,threshold,t_on,t_off,persistence_windows,real_only_false_alerts_per_min,real_only_false_alert_time_ratio,target_recall,target_ttfd_s,precision,recall,f1,false_alerts_per_min,false_alert_time_ratio,time_to_first_detection_s,alert_flicker,tp_windows,fp_windows,fn_windows,tn_windows,predicted_alert_segments,false_alert_segments,fake_segments,detected_fake_segments,real_minutes,alert_active_minutes,alert_transitions,missing_windows,scored_windows,held_windows,missing_rate,run_count
efficientnet_b4,score_raw,low,0.462267,0.537733,strict_0.10,True,True,0.73,0.73,0.63,2,0.0,0.0,0.350877,10.634433,0.606061,0.350877,0.444444,0.190476,0.206349,10.634433,0.969697,20,13,37,50,9,6,104,42,31.5,16.5,16,0,120,0,0.0,6
effort_clip_l14,score_raw,low,0.498747,0.501253,strict_0.10,True,True,0.19,0.19,0.09,2,0.1,0.05,0.333333,11.151394,0.542857,0.333333,0.413043,0.31746,0.253968,11.151394,0.971429,19,16,38,47,10,10,104,37,31.5,17.5,17,0,120,0,0.0,6
f3net,score_raw,high,0.515455,0.515455,strict_0.10,True,True,0.49,0.49,0.39,3,0.0,0.0,0.631579,6.922115,0.553846,0.631579,0.590164,0.380952,0.460317,6.922115,0.215385,36,29,21,34,6,12,104,68,31.5,32.5,7,0,120,0,0.0,6
i3d,score_raw,high,0.533835,0.533835,strict_0.10,True,True,0.7,0.7,0.6499999999999999,3,0.0,0.0,0.385965,9.656375,0.407407,0.385965,0.396396,0.349206,0.507937,9.656375,0.148148,22,32,35,31,4,11,104,50,31.5,27.0,4,0,120,0,0.0,6
videomae,score_raw,low,0.378168,0.621832,strict_0.10,True,True,0.54,0.54,0.44000000000000006,2,0.1,0.05,0.54386,7.769317,0.563636,0.54386,0.553571,0.380952,0.380952,7.769317,0.363636,31,24,26,39,7,12,104,59,31.5,27.5,10,0,120,0,0.0,6
xception_df40,score_raw,low,0.466722,0.533278,strict_0.10,True,True,0.26,0.26,0.21000000000000002,3,0.0,0.0,0.508772,7.293875,0.537037,0.508772,0.522523,0.222222,0.396825,7.293875,0.222222,29,25,28,38,5,7,104,61,31.5,27.0,6,0,120,0,0.0,6
