backend,scope,signal_source,polarity,auc_high_means_fake,effective_auc,real_count,fake_count,real_mean,real_std,real_p05,real_p25,real_p50,real_p75,real_p95,fake_mean,fake_std,fake_p05,fake_p25,fake_p50,fake_p75,fake_p95,mean_gap_fake_minus_real
efficientnet_b4,calibration,score_raw,high,0.542778,0.542778,60,60,0.335406,0.123244,0.162073,0.250718,0.336106,0.4356,0.54778,0.35406,0.13395,0.130224,0.264668,0.354952,0.437554,0.58753,0.018654
efficientnet_b4,all,score_raw,high,0.510905,0.510905,156,164,0.338955,0.127019,0.161181,0.249408,0.320786,0.424861,0.581434,0.343847,0.136539,0.131772,0.244781,0.343772,0.430448,0.585595,0.004892
effort_clip_l14,calibration,score_raw,high,0.545833,0.545833,60,60,0.81711,0.179299,0.561568,0.686366,0.888431,0.964396,0.991063,0.819407,0.208227,0.368638,0.760523,0.893504,0.984481,0.998758,0.002297
effort_clip_l14,all,score_raw,high,0.533615,0.533615,156,164,0.800414,0.225643,0.265089,0.700537,0.893162,0.968557,0.993555,0.829099,0.187252,0.44846,0.752685,0.891615,0.978277,0.998364,0.028685
f3net,calibration,score_raw,high,0.663056,0.663056,60,60,0.468603,0.160895,0.267273,0.357827,0.456229,0.569147,0.762988,0.567903,0.194943,0.177936,0.484129,0.560965,0.704082,0.840266,0.0993
f3net,all,score_raw,high,0.670927,0.670927,156,164,0.474992,0.162166,0.227049,0.366559,0.463089,0.589044,0.765619,0.578172,0.179068,0.246066,0.482241,0.560042,0.706827,0.854986,0.10318
i3d,calibration,score_raw,low,0.415833,0.584167,60,60,0.696703,0.026838,0.64993,0.683879,0.701486,0.717134,0.729681,0.688356,0.031444,0.64538,0.665999,0.692574,0.716596,0.726107,-0.008347
i3d,all,score_raw,low,0.452588,0.547412,156,164,0.697728,0.025948,0.655909,0.686326,0.702194,0.718005,0.730313,0.693095,0.027909,0.646393,0.674884,0.69964,0.716284,0.728773,-0.004633
videomae,calibration,score_raw,low,0.495,0.505,60,60,0.473342,0.164232,0.186274,0.364305,0.457564,0.617835,0.699454,0.463016,0.203581,0.129135,0.337827,0.466869,0.61969,0.751086,-0.010326
videomae,all,score_raw,low,0.486867,0.513133,156,164,0.458522,0.179054,0.124098,0.34281,0.464301,0.59731,0.728613,0.448891,0.203875,0.072503,0.321415,0.456832,0.590298,0.77315,-0.009631
xception_df40,calibration,score_raw,low,0.454167,0.545833,60,60,0.729528,0.18858,0.408228,0.58697,0.789889,0.882731,0.96099,0.694009,0.212496,0.30054,0.579463,0.745142,0.850186,0.962761,-0.035519
xception_df40,all,score_raw,low,0.519895,0.480105,156,164,0.728355,0.205172,0.348442,0.592717,0.787946,0.892954,0.979592,0.738701,0.207442,0.341326,0.628344,0.78796,0.903671,0.977952,0.010346
