backend,signal_source,polarity,raw_auc_high_means_fake,effective_auc,selected_policy,strict_gate_met,relaxed_gate_met,threshold,t_on,t_off,persistence_windows,real_only_false_alerts_per_min,real_only_false_alert_time_ratio,target_recall,target_ttfd_s,precision,recall,f1,false_alerts_per_min,false_alert_time_ratio,time_to_first_detection_s,alert_flicker,tp_windows,fp_windows,fn_windows,tn_windows,predicted_alert_segments,false_alert_segments,fake_segments,detected_fake_segments,real_minutes,alert_active_minutes,alert_transitions,missing_windows,scored_windows,held_windows,missing_rate,run_count
efficientnet_b4,score_raw,high,0.542778,0.542778,strict_0.10,True,True,0.45,0.45,0.35,2,0.0,0.0,0.166667,14.512529,0.666667,0.166667,0.266667,0.067416,0.087079,14.512529,1.213483,10,5,50,55,5,2,104,18,29.666667,7.416667,9,0,120,0,0.0,6
effort_clip_l14,score_raw,high,0.545833,0.545833,strict_0.10,True,True,0.97,0.97,0.87,2,0.0,0.0,0.35,11.104077,0.636364,0.35,0.451613,0.269663,0.197753,11.104077,0.854527,21,12,39,48,8,8,104,40,29.666667,16.383333,14,0,120,0,0.0,6
f3net,score_raw,high,0.663056,0.663056,strict_0.10,True,True,0.54,0.54,0.44000000000000006,2,0.0,0.0,0.566667,7.362173,0.607143,0.566667,0.586207,0.269663,0.360674,7.362173,0.362319,34,22,26,38,7,8,104,65,29.666667,27.6,10,0,120,0,0.0,6
i3d,score_raw,low,0.415833,0.584167,strict_0.10,True,True,0.32,0.32,0.27,2,0.0,0.0,0.583333,6.952183,0.660377,0.583333,0.619469,0.235955,0.291011,6.952183,0.153551,35,18,25,42,4,7,104,60,29.666667,26.05,4,0,120,0,0.0,6
videomae,score_raw,low,0.495,0.505,strict_0.10,True,True,0.62,0.62,0.52,2,0.0,0.0,0.466667,8.955933,0.666667,0.466667,0.54902,0.134831,0.232584,8.955933,0.475436,28,14,32,46,6,4,104,51,29.666667,21.033333,10,0,120,0,0.0,6
xception_df40,score_raw,low,0.454167,0.545833,strict_0.10,True,True,0.6,0.6,0.5,1,0.0,0.0,0.166667,14.299856,0.833333,0.166667,0.277778,0.067416,0.034831,14.299856,3.579545,10,2,50,58,11,2,104,20,29.666667,5.866667,21,0,120,0,0.0,6
