backend,window_s,calibration_runs,validation_runs,test_runs,skipped_runs,skipped_run_ids,polarity,selected_policy,threshold,t_on,t_off,hysteresis_gap,persistence_windows,calibration_real_only_fa_per_min,calibration_target_recall,calibration_target_f1,validation_auc,validation_precision,validation_recall,validation_f1,validation_false_alerts_per_min,validation_ttfd_s,validation_flicker,test_auc,test_precision,test_recall,test_f1,test_false_alerts_per_min,test_ttfd_s,test_flicker
efficientnet_b4,5,6,5,5,0,,low,strict_0.10,0.22,0.22,0.12,0.1,1,0.1,1.0,0.751199165797706,0.51713,0.4984594317014721,0.9693741677762983,0.658376667420303,2.0026702269692924,0.4726666666666664,0.22595001711742554,0.555667,0.49966465459423204,0.9953239812959251,0.6653270819379326,2.0758483033932134,0.0895487804878051,0.060362173038229376
effort_clip_l14,60,6,5,5,0,,low,strict_0.10,0.01,0.01,0.01,0.0,1,0.1,0.9727928928373126,0.7437911271492251,0.505527,0.4879737609329446,0.8914780292942743,0.6307112576542628,1.9626168224299068,1.429547619047618,0.3717201166180758,0.354901,0.49485949280328995,0.9645958583834335,0.6541336353340884,2.035928143712575,0.44853658536585367,0.2467443454420836
f3net,15,6,5,5,0,,high,strict_0.10,0.04,0.04,0.04,0.0,1,0.1,1.0,0.7505730360491769,0.582415,0.5010006671114076,1.0,0.6675555555555556,2.0427236315086783,0.0,0.0200133422281521,0.591626,0.4991663887962654,1.0,0.6659252669039146,2.1157684630738522,0.0,0.04001333777925975
i3d,10,6,5,5,0,,low,strict_0.10,0.01,0.01,0.01,0.0,1,0.1,1.0,0.7502603624244949,0.476529,0.5028745350016909,0.9900133155792277,0.6669656873738505,2.0026702269692924,0.16666666666666666,0.040581670612106865,0.537936,0.499,1.0,0.6657771847898598,2.0758483033932134,0.0,0.0
videomae,1,6,5,5,0,,low,strict_0.10,0.05,0.05,0.0,0.05,1,0.1,1.0,0.7502603624244949,0.533332,0.49765258215962443,0.9880159786950732,0.6619090098126673,2.0427236315086783,0.21428571428571427,0.02012072434607646,0.569573,0.4984984984984985,0.9979959919839679,0.664886515353805,2.0758483033932134,0.036585365853658534,0.04004004004004004
xception_df40,10,6,5,5,0,,low,strict_0.10,0.05,0.05,0.0,0.05,1,0.1,0.971682398667407,0.7398013105051785,0.468089,0.5010135135135135,0.9873501997336884,0.6647243388614972,2.0427236315086783,0.2261904761904762,0.08108108108108107,0.496258,0.49697783747481533,0.9886439545758183,0.6614525139664805,2.0758483033932134,0.2016219512195122,0.020147750167897917
