backend,window_s,polarity,selected_policy,threshold,t_on,t_off,hysteresis_gap,persistence_windows,calibration_real_only_fa_per_min,calibration_target_recall,calibration_target_f1,validation_auc,validation_f1,validation_false_alerts_per_min,validation_ttfd_s,test_auc,test_f1,test_false_alerts_per_min,test_ttfd_s
efficientnet_b4,5,low,strict_0.10,0.22,0.22,0.12,0.1,1,0.1,1.0,0.751199165797706,0.51713,0.658376667420303,2.0026702269692924,0.4726666666666664,0.555667,0.6653270819379326,2.0758483033932134,0.0895487804878051
effort_clip_l14,60,low,strict_0.10,0.01,0.01,0.01,0.0,1,0.1,0.9727928928373126,0.7437911271492251,0.505527,0.6307112576542628,1.9626168224299068,1.429547619047618,0.354901,0.6541336353340884,2.035928143712575,0.44853658536585367
f3net,15,high,strict_0.10,0.04,0.04,0.04,0.0,1,0.1,1.0,0.7505730360491769,0.582415,0.6675555555555556,2.0427236315086783,0.0,0.591626,0.6659252669039146,2.1157684630738522,0.0
i3d,10,low,strict_0.10,0.01,0.01,0.01,0.0,1,0.1,1.0,0.7502603624244949,0.476529,0.6669656873738505,2.0026702269692924,0.16666666666666666,0.537936,0.6657771847898598,2.0758483033932134,0.0
videomae,1,low,strict_0.10,0.05,0.05,0.0,0.05,1,0.1,1.0,0.7502603624244949,0.533332,0.6619090098126673,2.0427236315086783,0.21428571428571427,0.569573,0.664886515353805,2.0758483033932134,0.036585365853658534
xception_df40,10,low,strict_0.10,0.05,0.05,0.0,0.05,1,0.1,0.971682398667407,0.7398013105051785,0.468089,0.6647243388614972,2.0427236315086783,0.2261904761904762,0.496258,0.6614525139664805,2.0758483033932134,0.2016219512195122
