run_id,backend,split,kind,ordinal,video_filename,video_duration_s,signal_source,pred_t_min,pred_t_max,end_align_shift_s,scored_window_count,held_window_count,missing_window_count
validation_fake_only_01__f3net,f3net,validation,fake_only,1,validation_fake_only_01.mp4,600,score_raw,0.36,610.063,10.063,19,0,0
validation_mixed_01__f3net,f3net,validation,mixed,1,validation_mixed_01.mp4,600,score_raw,0.36,610.594,10.594,19,0,0
validation_mixed_02__f3net,f3net,validation,mixed,2,validation_mixed_02.mp4,600,score_raw,0.39,610.015,10.015,19,0,0
validation_mixed_03__f3net,f3net,validation,mixed,3,validation_mixed_03.mp4,600,score_raw,0.39,610.234,10.234,19,0,0
validation_real_only_01__f3net,f3net,validation,real_only,1,validation_real_only_01.mp4,600,score_raw,0.406,610.25,10.25,19,0,0
calibration_fake_only_01__i3d,i3d,calibration,fake_only,1,calibration_fake_only_01.mp4,600,score_raw,0.109,610.047,10.047,19,0,0
calibration_mixed_01__i3d,i3d,calibration,mixed,1,calibration_mixed_01.mp4,600,score_raw,0.093,610.265,10.265,19,0,0
calibration_mixed_02__i3d,i3d,calibration,mixed,2,calibration_mixed_02.mp4,600,score_raw,0.109,610.359,10.359,19,0,0
calibration_mixed_03__i3d,i3d,calibration,mixed,3,calibration_mixed_03.mp4,600,score_raw,0.11,610.25,10.25,19,0,0
calibration_mixed_04__i3d,i3d,calibration,mixed,4,calibration_mixed_04.mp4,600,score_raw,0.109,610.156,10.156,19,0,0
calibration_real_only_01__i3d,i3d,calibration,real_only,1,calibration_real_only_01.mp4,600,score_raw,0.125,610.203,10.203,19,0,0
test_fake_only_01__i3d,i3d,test,fake_only,1,test_fake_only_01.mp4,600,score_raw,0.094,610.641,10.641,19,0,0
test_mixed_01__i3d,i3d,test,mixed,1,test_mixed_01.mp4,600,score_raw,0.14,610.234,10.234,19,0,0
test_mixed_02__i3d,i3d,test,mixed,2,test_mixed_02.mp4,600,score_raw,0.109,610.734,10.734,19,0,0
test_mixed_03__i3d,i3d,test,mixed,3,test_mixed_03.mp4,600,score_raw,0.109,610.515,10.515,19,0,0
test_real_only_01__i3d,i3d,test,real_only,1,test_real_only_01.mp4,600,score_raw,0.109,610.469,10.469,19,0,0
validation_fake_only_01__i3d,i3d,validation,fake_only,1,validation_fake_only_01.mp4,600,score_raw,0.109,610.25,10.25,19,0,0
validation_mixed_01__i3d,i3d,validation,mixed,1,validation_mixed_01.mp4,600,score_raw,0.109,610.203,10.203,19,0,0
validation_mixed_02__i3d,i3d,validation,mixed,2,validation_mixed_02.mp4,600,score_raw,0.094,610.172,10.172,18,1,0
validation_mixed_03__i3d,i3d,validation,mixed,3,validation_mixed_03.mp4,600,score_raw,0.11,610.141,10.141,19,0,0
validation_real_only_01__i3d,i3d,validation,real_only,1,validation_real_only_01.mp4,600,score_raw,0.093,610.156,10.156,19,0,0
calibration_fake_only_01__videomae,videomae,calibration,fake_only,1,calibration_fake_only_01.mp4,600,score_raw,0.109,610.515,10.515,19,0,0
calibration_mixed_01__videomae,videomae,calibration,mixed,1,calibration_mixed_01.mp4,600,score_raw,0.11,610.328,10.328,19,0,0
calibration_mixed_02__videomae,videomae,calibration,mixed,2,calibration_mixed_02.mp4,600,score_raw,0.141,610.172,10.172,19,0,0
calibration_mixed_03__videomae,videomae,calibration,mixed,3,calibration_mixed_03.mp4,600,score_raw,0.109,610.141,10.141,19,0,0
calibration_mixed_04__videomae,videomae,calibration,mixed,4,calibration_mixed_04.mp4,600,score_raw,0.125,610.578,10.578,19,0,0
calibration_real_only_01__videomae,videomae,calibration,real_only,1,calibration_real_only_01.mp4,600,score_raw,0.109,610.031,10.031,19,0,0
test_fake_only_01__videomae,videomae,test,fake_only,1,test_fake_only_01.mp4,600,score_raw,0.093,610.047,10.047,19,0,0
test_mixed_01__videomae,videomae,test,mixed,1,test_mixed_01.mp4,600,score_raw,0.109,610.547,10.547,19,0,0
test_mixed_02__videomae,videomae,test,mixed,2,test_mixed_02.mp4,600,score_raw,0.109,610.047,10.047,19,0,0
test_mixed_03__videomae,videomae,test,mixed,3,test_mixed_03.mp4,600,score_raw,0.094,610.063,10.063,19,0,0
test_real_only_01__videomae,videomae,test,real_only,1,test_real_only_01.mp4,600,score_raw,0.109,610.297,10.297,19,0,0
validation_fake_only_01__videomae,videomae,validation,fake_only,1,validation_fake_only_01.mp4,600,score_raw,0.109,610.031,10.031,19,0,0
validation_mixed_01__videomae,videomae,validation,mixed,1,validation_mixed_01.mp4,600,score_raw,0.11,610.578,10.578,19,0,0
validation_mixed_02__videomae,videomae,validation,mixed,2,validation_mixed_02.mp4,600,score_raw,0.094,610.344,10.344,19,0,0
validation_mixed_03__videomae,videomae,validation,mixed,3,validation_mixed_03.mp4,600,score_raw,0.11,610.36,10.36,19,0,0
validation_real_only_01__videomae,videomae,validation,real_only,1,validation_real_only_01.mp4,600,score_raw,0.11,610.344,10.344,19,0,0
calibration_fake_only_01__xception_df40,xception_df40,calibration,fake_only,1,calibration_fake_only_01.mp4,600,score_raw,0.36,609.828,9.828,19,0,0
calibration_mixed_01__xception_df40,xception_df40,calibration,mixed,1,calibration_mixed_01.mp4,600,score_raw,0.344,610.282,10.282,19,0,0
calibration_mixed_02__xception_df40,xception_df40,calibration,mixed,2,calibration_mixed_02.mp4,600,score_raw,0.343,610.171,10.171,19,0,0
calibration_mixed_03__xception_df40,xception_df40,calibration,mixed,3,calibration_mixed_03.mp4,600,score_raw,0.343,610.187,10.187,19,0,0
calibration_mixed_04__xception_df40,xception_df40,calibration,mixed,4,calibration_mixed_04.mp4,600,score_raw,0.437,610.219,10.219,19,0,0
calibration_real_only_01__xception_df40,xception_df40,calibration,real_only,1,calibration_real_only_01.mp4,600,score_raw,0.344,610.078,10.078,19,0,0
test_fake_only_01__xception_df40,xception_df40,test,fake_only,1,test_fake_only_01.mp4,600,score_raw,0.344,610.344,10.344,19,0,0
test_mixed_01__xception_df40,xception_df40,test,mixed,1,test_mixed_01.mp4,600,score_raw,0.343,610.718,10.718,19,0,0
test_mixed_02__xception_df40,xception_df40,test,mixed,2,test_mixed_02.mp4,600,score_raw,0.36,610.782,10.782,19,0,0
test_mixed_03__xception_df40,xception_df40,test,mixed,3,test_mixed_03.mp4,600,score_raw,0.375,610.078,10.078,19,0,0
test_real_only_01__xception_df40,xception_df40,test,real_only,1,test_real_only_01.mp4,600,score_raw,0.36,610.532,10.532,19,0,0
validation_fake_only_01__xception_df40,xception_df40,validation,fake_only,1,validation_fake_only_01.mp4,600,score_raw,0.359,610.156,10.156,19,0,0
validation_mixed_01__xception_df40,xception_df40,validation,mixed,1,validation_mixed_01.mp4,600,score_raw,0.328,610.328,10.328,19,0,0
validation_mixed_02__xception_df40,xception_df40,validation,mixed,2,validation_mixed_02.mp4,600,score_raw,0.329,610.516,10.516,19,0,0
validation_mixed_03__xception_df40,xception_df40,validation,mixed,3,validation_mixed_03.mp4,600,score_raw,0.375,610.469,10.469,19,0,0
validation_real_only_01__xception_df40,xception_df40,validation,real_only,1,validation_real_only_01.mp4,600,score_raw,0.375,610.219,10.219,19,0,0
