backend,scope,signal_source,polarity,auc_high_means_fake,effective_auc,real_count,fake_count,real_mean,real_std,real_p05,real_p25,real_p50,real_p75,real_p95,fake_mean,fake_std,fake_p05,fake_p25,fake_p50,fake_p75,fake_p95,mean_gap_fake_minus_real
efficientnet_b4,calibration,score_raw,low,0.4786,0.5214,86,94,0.347741,0.126064,0.148127,0.253383,0.354907,0.428942,0.561959,0.342275,0.144468,0.141819,0.225235,0.322522,0.469155,0.582945,-0.005465
efficientnet_b4,all,score_raw,low,0.483185,0.516815,239,241,0.344309,0.13863,0.148336,0.243059,0.322827,0.428062,0.606408,0.338277,0.153351,0.120561,0.218908,0.322312,0.453762,0.592041,-0.006031
effort_clip_l14,calibration,score_raw,high,0.52239,0.52239,86,94,0.816912,0.208865,0.373355,0.719849,0.899845,0.974007,0.996144,0.82378,0.208908,0.40997,0.72353,0.910207,0.981637,0.998818,0.006869
effort_clip_l14,all,score_raw,high,0.517249,0.517249,239,241,0.809933,0.232333,0.270554,0.717773,0.916528,0.977073,0.998103,0.822162,0.21065,0.368636,0.717244,0.908201,0.985114,0.998835,0.012229
f3net,calibration,score_raw,high,0.559871,0.559871,86,94,0.49575,0.182889,0.222334,0.326788,0.504869,0.627264,0.76191,0.543418,0.205494,0.219166,0.395335,0.52533,0.681468,0.865044,0.047668
f3net,all,score_raw,high,0.578239,0.578239,239,241,0.500999,0.186539,0.214437,0.350443,0.498801,0.628336,0.81351,0.560354,0.201195,0.227618,0.424772,0.536374,0.702318,0.910106,0.059355
i3d,calibration,score_raw,low,0.452499,0.547501,86,94,0.693235,0.033745,0.615211,0.684843,0.702522,0.716171,0.728192,0.68956,0.031996,0.628864,0.671267,0.692654,0.717525,0.730195,-0.003675
i3d,all,score_raw,low,0.455143,0.544857,239,240,0.696173,0.030262,0.632871,0.684388,0.704915,0.717288,0.728255,0.6921,0.030441,0.631022,0.675361,0.697889,0.717423,0.729238,-0.004073
videomae,calibration,score_raw,low,0.440871,0.559129,86,94,0.493294,0.183913,0.209692,0.362005,0.500309,0.64004,0.804114,0.438879,0.222589,0.057225,0.240689,0.446926,0.629048,0.771111,-0.054416
videomae,all,score_raw,low,0.447786,0.552214,239,241,0.474089,0.20149,0.156863,0.333859,0.467303,0.631457,0.803419,0.431164,0.223941,0.039329,0.259085,0.432652,0.587791,0.789396,-0.042925
xception_df40,calibration,score_raw,low,0.463013,0.536987,86,94,0.723828,0.2319,0.280013,0.592581,0.800829,0.895964,0.986993,0.694948,0.238411,0.228764,0.534933,0.761464,0.89041,0.985289,-0.02888
xception_df40,all,score_raw,low,0.492248,0.507752,239,241,0.740075,0.222066,0.323465,0.593641,0.816111,0.917934,0.986939,0.7264,0.238672,0.234006,0.579988,0.781293,0.929185,0.993242,-0.013675
