backend,signal_source,polarity,raw_auc_high_means_fake,effective_auc,selected_policy,strict_gate_met,relaxed_gate_met,threshold,t_on,t_off,persistence_windows,real_only_false_alerts_per_min,real_only_false_alert_time_ratio,target_recall,target_ttfd_s,precision,recall,f1,false_alerts_per_min,false_alert_time_ratio,time_to_first_detection_s,alert_flicker,tp_windows,fp_windows,fn_windows,tn_windows,predicted_alert_segments,false_alert_segments,fake_segments,detected_fake_segments,real_minutes,alert_active_minutes,alert_transitions,missing_windows,scored_windows,held_windows,missing_rate,run_count
efficientnet_b4,score_raw,low,0.480116,0.519884,strict_0.10,True,True,0.7,0.7,0.6,3,0.0,0.0,0.557143,6.532942,0.557143,0.557143,0.557143,0.421622,0.418919,6.532942,0.205714,39,31,31,43,5,13,104,65,30.833333,29.166667,6,0,144,0,0.0,6
effort_clip_l14,score_raw,low,0.491313,0.508687,strict_0.10,True,True,0.12,0.12,0.01999999999999999,3,0.0,0.0,0.628571,6.312606,0.578947,0.628571,0.60274,0.518919,0.432432,6.312606,0.189474,44,32,26,42,5,16,104,68,30.833333,31.666667,6,0,144,0,0.0,6
f3net,score_raw,high,0.586293,0.586293,strict_0.10,True,True,0.47,0.47,0.37,3,0.0,0.0,0.757143,4.752875,0.602273,0.757143,0.670886,0.518919,0.472973,4.752875,0.218182,53,35,17,39,6,16,104,81,30.833333,36.666667,8,0,144,0,0.0,6
i3d,score_raw,low,0.490927,0.509073,strict_0.10,True,True,0.32,0.32,0.27,2,0.0,0.0,0.557143,7.462856,0.65,0.557143,0.6,0.291892,0.283784,7.462856,0.16,39,21,31,53,4,9,104,58,30.833333,25.0,4,0,144,0,0.0,6
videomae,score_raw,low,0.427413,0.572587,strict_0.10,True,True,0.55,0.55,0.45000000000000007,3,0.0,0.0,0.542857,8.827212,0.745098,0.542857,0.628099,0.227027,0.175676,8.827212,0.235294,38,13,32,61,4,7,104,52,30.833333,21.25,5,0,144,0,0.0,6
xception_df40,score_raw,low,0.452317,0.547683,strict_0.10,True,True,0.3,0.3,0.19999999999999998,3,0.1,0.041667,0.528571,9.19625,0.787234,0.528571,0.632479,0.227027,0.135135,9.19625,0.255319,37,10,33,64,4,7,104,47,30.833333,19.583333,5,0,144,0,0.0,6
