backend,scope,signal_source,polarity,auc_high_means_fake,effective_auc,real_count,fake_count,real_mean,real_std,real_p05,real_p25,real_p50,real_p75,real_p95,fake_mean,fake_std,fake_p05,fake_p25,fake_p50,fake_p75,fake_p95,mean_gap_fake_minus_real
efficientnet_b4,calibration,score_raw,low,0.480116,0.519884,74,70,0.347606,0.124142,0.15447,0.258095,0.345535,0.438779,0.5435,0.342011,0.129505,0.128359,0.2501,0.335956,0.407719,0.565439,-0.005595
efficientnet_b4,all,score_raw,low,0.480412,0.519588,190,194,0.345902,0.134804,0.157977,0.253126,0.327178,0.430014,0.587623,0.336755,0.139819,0.133738,0.234612,0.320577,0.420625,0.577605,-0.009147
effort_clip_l14,calibration,score_raw,low,0.491313,0.508687,74,70,0.835031,0.16994,0.507871,0.730311,0.906267,0.970645,0.995178,0.805289,0.220043,0.293634,0.760336,0.877479,0.967785,0.997869,-0.029741
effort_clip_l14,all,score_raw,low,0.519588,0.480412,190,194,0.809877,0.218416,0.34451,0.726229,0.906267,0.971966,0.997863,0.822196,0.208364,0.380817,0.753993,0.902386,0.979902,0.997734,0.01232
f3net,calibration,score_raw,high,0.586293,0.586293,74,70,0.498514,0.174339,0.25594,0.372969,0.474699,0.602432,0.792942,0.544038,0.185704,0.227633,0.393635,0.57934,0.687383,0.824258,0.045524
f3net,all,score_raw,high,0.589392,0.589392,190,194,0.50291,0.176872,0.250295,0.376365,0.500669,0.612656,0.801245,0.55834,0.184549,0.269406,0.427038,0.562581,0.680725,0.856264,0.05543
i3d,calibration,score_raw,low,0.490927,0.509073,74,70,0.69213,0.030971,0.61701,0.68148,0.700702,0.712507,0.728453,0.690352,0.033233,0.636248,0.67188,0.696564,0.716498,0.727844,-0.001778
i3d,all,score_raw,low,0.495419,0.504581,190,193,0.694269,0.028733,0.644426,0.679315,0.700226,0.716803,0.728244,0.693928,0.028686,0.640236,0.679491,0.699559,0.715698,0.728174,-0.000342
videomae,calibration,score_raw,low,0.427413,0.572587,74,70,0.491323,0.176521,0.179812,0.362699,0.507967,0.62171,0.773255,0.436921,0.206749,0.069043,0.295824,0.443816,0.606117,0.745377,-0.054401
videomae,all,score_raw,low,0.436435,0.563565,190,194,0.475353,0.188769,0.157439,0.329651,0.488658,0.617737,0.776495,0.430192,0.20655,0.043489,0.296014,0.447918,0.551566,0.757695,-0.045161
xception_df40,calibration,score_raw,low,0.452317,0.547683,74,70,0.727281,0.198177,0.327978,0.61761,0.782537,0.861649,0.961164,0.689152,0.227016,0.194977,0.56642,0.745652,0.873909,0.966883,-0.038129
xception_df40,all,score_raw,low,0.503473,0.496527,190,194,0.737878,0.197786,0.344619,0.618367,0.785044,0.896287,0.978479,0.728636,0.226529,0.229756,0.589717,0.772117,0.917407,0.983228,-0.009241
