backend,polarity,op_changed,old_policy,new_policy,old_t_on,new_t_on,old_t_off,new_t_off,old_persistence,new_persistence,old_calib_real_fa_per_min,new_calib_real_fa_per_min,old_calib_real_fa_time_ratio,new_calib_real_fa_time_ratio,validation_auc_effective,test_auc_effective,old_validation_fa_per_min,new_validation_fa_per_min,old_validation_fa_time_ratio,new_validation_fa_time_ratio,old_test_fa_per_min,new_test_fa_per_min,old_test_fa_time_ratio,new_test_fa_time_ratio,old_validation_f1,new_validation_f1,old_test_f1,new_test_f1
efficientnet_b4,low,True,strict_0.10,strict_0.10,0.05,0.91,0.05,0.81,1,3,0.1,0.1,1.0,0.008333,0.519435,0.554629,2.202937,0.320427,0.99466,0.038051,2.235529,0.359281,0.996673,0.087159,0.664882,0.149555,0.665627,0.255091
effort_clip_l14,low,True,strict_0.10,strict_0.10,0.05,0.9,0.0,0.8,1,3,0.1,0.1,1.0,0.03,0.476453,0.482432,2.042724,0.160214,0.9753,0.048064,2.035928,0.479042,0.989355,0.10978,0.667716,0.060382,0.658876,0.068565
f3net,high,True,strict_0.10,strict_0.10,0.05,0.81,0.0,0.7100000000000001,1,3,0.1,0.1,1.0,0.016667,0.519515,0.539355,2.042724,0.921228,0.999332,0.167557,2.075848,0.798403,1.0,0.126414,0.663249,0.299709,0.665777,0.357352
i3d,low,True,strict_0.10,strict_0.10,0.01,0.45,0.01,0.35,1,3,0.1,0.1,1.0,0.025,0.506952,0.549829,2.00267,0.12016,0.981308,0.012684,2.075848,0.07984,1.0,0.00998,0.662165,0.028516,0.665777,0.005277
videomae,low,True,strict_0.10,strict_0.10,0.05,0.98,0.0,0.88,1,3,0.1,0.1,1.0,0.006667,0.533332,0.569573,2.042724,0.200267,1.0,0.045394,2.075848,0.319361,1.0,0.037259,0.661909,0.173357,0.664887,0.206697
xception_df40,low,True,strict_0.10,strict_0.10,0.05,0.98,0.0,0.88,1,2,0.1,0.1,1.0,0.015,0.467627,0.493191,2.042724,0.040053,0.987316,0.00267,2.075848,0.03992,1.0,0.003992,0.664427,0.021025,0.661013,0.018457
