backend,signal_source,polarity,raw_auc_high_means_fake,effective_auc,selected_policy,strict_gate_met,relaxed_gate_met,threshold,t_on,t_off,persistence_windows,real_only_false_alerts_per_min,real_only_false_alert_time_ratio,target_recall,target_ttfd_s,precision,recall,f1,false_alerts_per_min,false_alert_time_ratio,time_to_first_detection_s,alert_flicker,tp_windows,fp_windows,fn_windows,tn_windows,predicted_alert_segments,false_alert_segments,fake_segments,detected_fake_segments,real_minutes,alert_active_minutes,alert_transitions,missing_windows,scored_windows,held_windows,missing_rate,run_count
efficientnet_b4,score_raw,high,0.585185,0.585185,strict_0.10,True,True,0.35,0.35,0.3,3,0.0,0.0,0.466667,10.043856,0.636364,0.466667,0.538462,0.366972,0.275229,10.043856,0.224719,21,12,24,27,5,10,104,47,27.25,22.25,5,0,84,0,0.0,6
effort_clip_l14,score_raw,high,0.589174,0.589174,strict_0.10,True,True,0.87,0.87,0.77,3,0.0,0.0,0.266667,13.44376,0.6,0.266667,0.369231,0.183486,0.201835,13.44376,0.142857,12,8,33,31,2,5,104,30,27.25,14.0,2,0,84,0,0.0,6
f3net,score_raw,high,0.704843,0.704843,strict_0.10,True,True,0.59,0.59,0.49,1,0.0,0.0,0.511111,8.151231,0.766667,0.511111,0.613333,0.220183,0.174312,8.151231,1.255814,23,7,22,32,16,6,104,61,27.25,21.5,27,0,84,0,0.0,6
i3d,score_raw,low,0.48661,0.51339,strict_0.10,True,True,0.36,0.36,0.26,1,0.0,0.0,0.533333,8.766894,0.827586,0.533333,0.648649,0.183486,0.100917,8.766894,0.151899,24,5,21,34,4,5,104,49,27.25,19.75,3,0,84,0,0.0,6
videomae,score_raw,low,0.481481,0.518519,strict_0.10,True,True,0.6,0.6,0.5,2,0.1,0.025,0.622222,7.20175,0.756757,0.622222,0.682927,0.293578,0.211009,7.20175,0.342857,28,9,17,30,6,8,104,59,27.25,26.25,9,0,84,0,0.0,6
xception_df40,score_raw,low,0.445584,0.554416,strict_0.10,True,True,0.21,0.21,0.15999999999999998,3,0.1,0.025,0.466667,9.565433,0.677419,0.466667,0.552632,0.220183,0.220183,9.565433,0.240964,21,10,24,29,5,6,104,51,27.25,20.75,5,0,84,0,0.0,6
