backend,scope,signal_source,polarity,auc_high_means_fake,effective_auc,real_count,fake_count,real_mean,real_std,real_p05,real_p25,real_p50,real_p75,real_p95,fake_mean,fake_std,fake_p05,fake_p25,fake_p50,fake_p75,fake_p95,mean_gap_fake_minus_real
efficientnet_b4,calibration,score_raw,high,0.585185,0.585185,39,45,0.321328,0.101875,0.161857,0.239328,0.341465,0.39565,0.466728,0.36488,0.123854,0.16113,0.313256,0.357801,0.424459,0.554047,0.043552
efficientnet_b4,all,score_raw,high,0.507177,0.507177,114,110,0.337628,0.103873,0.16964,0.260092,0.338103,0.413205,0.509815,0.345607,0.128788,0.140387,0.250194,0.343458,0.425788,0.552734,0.00798
effort_clip_l14,calibration,score_raw,high,0.589174,0.589174,39,45,0.791449,0.18324,0.537298,0.691656,0.823062,0.944219,0.99505,0.839907,0.162263,0.615129,0.744929,0.896309,0.961289,0.989652,0.048459
effort_clip_l14,all,score_raw,high,0.577113,0.577113,114,110,0.7917,0.192297,0.377109,0.691599,0.831307,0.940991,0.994691,0.838614,0.159763,0.528452,0.745243,0.896439,0.968461,0.991805,0.046914
f3net,calibration,score_raw,high,0.704843,0.704843,39,45,0.452791,0.140738,0.242924,0.385071,0.44583,0.545041,0.658474,0.572862,0.180501,0.241564,0.481218,0.578328,0.675052,0.844619,0.120071
f3net,all,score_raw,high,0.672648,0.672648,114,110,0.477814,0.151315,0.23832,0.391507,0.479163,0.57632,0.704543,0.577319,0.159525,0.312872,0.483397,0.571998,0.668201,0.884814,0.099505
i3d,calibration,score_raw,low,0.48661,0.51339,39,45,0.693625,0.024913,0.642309,0.685604,0.693066,0.714456,0.727929,0.692546,0.025987,0.641887,0.681095,0.692612,0.715095,0.728034,-0.001079
i3d,all,score_raw,low,0.465152,0.534848,114,110,0.697691,0.022216,0.656372,0.687126,0.69799,0.713871,0.729387,0.693977,0.024196,0.647694,0.677505,0.698481,0.713256,0.728009,-0.003714
videomae,calibration,score_raw,low,0.481481,0.518519,39,45,0.478166,0.136118,0.291209,0.371973,0.48771,0.573786,0.701802,0.462837,0.17067,0.142694,0.362721,0.463034,0.603057,0.712472,-0.015329
videomae,all,score_raw,low,0.495774,0.504226,114,110,0.455411,0.157375,0.17337,0.358541,0.473273,0.572563,0.695105,0.452464,0.172854,0.14756,0.343298,0.452799,0.568162,0.720207,-0.002947
xception_df40,calibration,score_raw,low,0.445584,0.554416,39,45,0.731702,0.160543,0.448855,0.622064,0.762231,0.852422,0.948764,0.697177,0.168302,0.369928,0.628006,0.723555,0.820674,0.912451,-0.034525
xception_df40,all,score_raw,low,0.485167,0.514833,114,110,0.737498,0.185497,0.407526,0.625336,0.783911,0.889867,0.977862,0.73011,0.182791,0.394693,0.636934,0.760007,0.884703,0.965064,-0.007388
