backend,signal_source,polarity,raw_auc_high_means_fake,effective_auc,selected_policy,strict_gate_met,relaxed_gate_met,threshold,t_on,t_off,persistence_windows,real_only_false_alerts_per_min,real_only_false_alert_time_ratio,target_recall,target_f1,target_ttfd_s,precision,recall,f1,false_alerts_per_min,false_alert_time_ratio,time_to_first_detection_s,alert_flicker,tp_windows,fp_windows,fn_windows,tn_windows,predicted_alert_segments,false_alert_segments,fake_segments,detected_fake_segments,real_minutes,alert_active_minutes,alert_transitions,missing_windows,scored_windows,held_windows,missing_rate,run_count
efficientnet_b4,score_raw,high,0.500626,0.500626,strict_0.50,True,True,0.39,0.39,0.34,2,0.5,0.3,0.33871,0.43523316062176165,10.745663,0.518519,0.33871,0.409756,0.931034,0.336207,10.745663,1.876543,42,39,82,77,21,27,104,46,29.0,20.25,38,0,240,0,0.0,6
effort_clip_l14,score_raw,high,0.506605,0.506605,strict_0.50,True,True,0.97,0.97,0.97,2,0.3,0.275,0.274194,0.3820224719101123,10.757519,0.523077,0.274194,0.359788,0.689655,0.267241,10.757519,2.338462,34,31,90,85,20,20,104,44,29.0,16.25,38,0,240,0,0.0,6
f3net,score_raw,high,0.547831,0.547831,strict_0.50,True,True,0.53,0.53,0.43000000000000005,3,0.0,0.0,0.548387,0.591304347826087,7.504635,0.641509,0.548387,0.591304,1.103448,0.327586,7.504635,0.566038,68,38,56,78,9,32,104,58,29.0,26.5,15,0,240,0,0.0,6
i3d,score_raw,high,0.502642,0.502642,strict_0.50,True,True,0.71,0.71,0.61,3,0.0,0.0,0.612903,0.6129032258064516,6.853067,0.612903,0.612903,0.612903,1.275862,0.413793,6.853067,0.129032,76,48,48,68,4,37,104,63,29.0,31.0,4,0,240,0,0.0,6
videomae,score_raw,low,0.43465,0.56535,strict_0.50,True,True,0.52,0.52,0.52,3,0.2,0.25,0.508065,0.5675675675675675,8.544356,0.583333,0.508065,0.543103,1.0,0.387931,8.544356,0.703704,63,45,61,71,11,29,104,54,29.0,27.0,19,0,240,0,0.0,6
xception_df40,score_raw,low,0.494577,0.505423,strict_0.50,True,True,0.27,0.27,0.17,3,0.1,0.15,0.604839,0.6198347107438016,6.700317,0.604839,0.604839,0.604839,1.0,0.422414,6.700317,0.516129,75,49,49,67,9,29,104,67,29.0,31.0,16,0,240,0,0.0,6
