backend,scope,signal_source,polarity,auc_high_means_fake,effective_auc,real_count,fake_count,real_mean,real_std,real_p05,real_p25,real_p50,real_p75,real_p95,fake_mean,fake_std,fake_p05,fake_p25,fake_p50,fake_p75,fake_p95,mean_gap_fake_minus_real
efficientnet_b4,calibration,score_raw,high,0.581355,0.581355,57,51,0.328065,0.10264,0.16619,0.271896,0.328296,0.405586,0.494,0.364863,0.126267,0.157236,0.28436,0.361182,0.438434,0.577185,0.036798
efficientnet_b4,all,score_raw,high,0.503089,0.503089,148,140,0.340188,0.115098,0.164903,0.260736,0.340063,0.417379,0.524031,0.3434,0.133938,0.151568,0.254056,0.340876,0.41421,0.59151,0.003212
effort_clip_l14,calibration,score_raw,high,0.5215,0.5215,57,51,0.820401,0.174021,0.58644,0.69775,0.885032,0.958341,0.993831,0.818371,0.195104,0.455614,0.727867,0.892255,0.964778,0.991691,-0.002031
effort_clip_l14,all,score_raw,high,0.513803,0.513803,148,140,0.81004,0.201762,0.401772,0.705307,0.888624,0.967311,0.995757,0.821027,0.189074,0.397079,0.734941,0.886674,0.966183,0.99689,0.010986
f3net,calibration,score_raw,high,0.643963,0.643963,57,51,0.47505,0.15077,0.250134,0.35761,0.46799,0.574501,0.707784,0.570572,0.176964,0.323588,0.435182,0.57338,0.710813,0.872319,0.095522
f3net,all,score_raw,high,0.618919,0.618919,148,140,0.490777,0.149691,0.254375,0.385978,0.495095,0.60146,0.716002,0.570838,0.178944,0.305807,0.437034,0.567896,0.692941,0.899196,0.080061
i3d,calibration,score_raw,high,0.502924,0.502924,57,51,0.693571,0.023102,0.64983,0.680447,0.699164,0.708961,0.727172,0.689765,0.032962,0.619463,0.671955,0.699794,0.718093,0.726807,-0.003806
i3d,all,score_raw,high,0.48139,0.48139,147,140,0.696331,0.023011,0.651757,0.681662,0.701291,0.713292,0.727063,0.692683,0.028392,0.635685,0.677781,0.69954,0.716435,0.72586,-0.003649
videomae,calibration,score_raw,low,0.344341,0.655659,57,51,0.513265,0.142835,0.291322,0.400357,0.514701,0.61679,0.723505,0.415544,0.193046,0.119645,0.271282,0.406146,0.548534,0.742645,-0.097721
videomae,all,score_raw,low,0.434073,0.565927,148,140,0.47455,0.171411,0.161682,0.347778,0.493719,0.595363,0.730007,0.430031,0.192448,0.08285,0.295583,0.432227,0.573089,0.740968,-0.044519
xception_df40,calibration,score_raw,low,0.48882,0.51118,57,51,0.715719,0.188459,0.35639,0.599113,0.767502,0.871531,0.948672,0.704876,0.203181,0.369952,0.552696,0.763119,0.864545,0.949253,-0.010842
xception_df40,all,score_raw,low,0.493388,0.506612,148,140,0.73862,0.191569,0.366481,0.62831,0.777621,0.892149,0.971814,0.727617,0.207181,0.348874,0.580013,0.764295,0.903211,0.982182,-0.011003
