backend,signal_source,polarity,raw_auc_high_means_fake,effective_auc,selected_policy,strict_gate_met,relaxed_gate_met,threshold,t_on,t_off,persistence_windows,real_only_false_alerts_per_min,real_only_false_alert_time_ratio,target_recall,target_f1,target_ttfd_s,precision,recall,f1,false_alerts_per_min,false_alert_time_ratio,time_to_first_detection_s,alert_flicker,tp_windows,fp_windows,fn_windows,tn_windows,predicted_alert_segments,false_alert_segments,fake_segments,detected_fake_segments,real_minutes,alert_active_minutes,alert_transitions,missing_windows,scored_windows,held_windows,missing_rate,run_count
efficientnet_b4,score_raw,low,0.464568,0.535432,strict_0.25,True,True,0.84,0.84,0.74,3,0.2,0.083333,0.141667,0.23448275862068965,14.519192,0.6,0.141667,0.229213,0.333333,0.094444,14.519192,3.247059,51,34,309,326,12,10,104,18,30.0,7.083333,23,0,720,0,0.0,6
effort_clip_l14,score_raw,low,0.497663,0.502337,strict_0.25,True,True,0.41,0.41,0.30999999999999994,3,0.2,0.041667,0.138889,0.2252252252252252,14.577721,0.561798,0.138889,0.222717,0.566667,0.108333,14.577721,4.853933,50,39,310,321,19,17,104,19,30.0,7.416667,36,1,719,0,0.001389,6
f3net,score_raw,high,0.524506,0.524506,strict_0.25,True,True,0.66,0.66,0.56,3,0.2,0.141667,0.355556,0.4612612612612613,9.89124,0.603774,0.355556,0.447552,1.066667,0.233333,9.89124,2.716981,128,84,232,276,25,32,104,53,30.0,17.666667,48,0,720,0,0.0,6
i3d,score_raw,low,0.472965,0.527035,strict_0.25,True,True,0.35,0.35,0.3,3,0.2,0.066667,0.219444,0.3412526997840173,13.061596,0.711712,0.219444,0.335456,0.433333,0.088889,13.061596,3.027027,79,32,281,328,14,13,104,25,30.0,9.25,28,1,719,0,0.001389,6
videomae,score_raw,low,0.446667,0.553333,strict_0.25,True,True,0.71,0.71,0.61,3,0.2,0.091667,0.338889,0.45269016697588127,10.515846,0.642105,0.338889,0.443636,0.866667,0.188889,10.515846,2.905263,122,68,238,292,23,26,104,44,30.0,15.833333,46,0,720,0,0.0,6
xception_df40,score_raw,low,0.479877,0.520123,strict_0.25,True,True,0.74,0.74,0.74,3,0.1,0.025,0.088889,0.15347721822541965,15.306087,0.533333,0.088889,0.152381,0.333333,0.077778,15.306087,5.2,32,28,328,332,13,10,104,17,30.0,5.0,26,0,720,0,0.0,6
