backend,scope,signal_source,polarity,auc_high_means_fake,effective_auc,real_count,fake_count,real_mean,real_std,real_p05,real_p25,real_p50,real_p75,real_p95,fake_mean,fake_std,fake_p05,fake_p25,fake_p50,fake_p75,fake_p95,mean_gap_fake_minus_real
efficientnet_b4,calibration,score_raw,low,0.45,0.55,46,50,0.355142,0.103266,0.173301,0.282395,0.35521,0.433431,0.504604,0.336755,0.117821,0.137958,0.25645,0.337337,0.407445,0.528691,-0.018387
efficientnet_b4,all,score_raw,low,0.457542,0.542458,117,139,0.350677,0.111992,0.178248,0.273753,0.342254,0.41653,0.53207,0.33433,0.125731,0.142485,0.243713,0.336678,0.404487,0.534653,-0.016347
effort_clip_l14,calibration,score_raw,high,0.581304,0.581304,46,50,0.802615,0.159368,0.557417,0.705139,0.807267,0.953462,0.986616,0.835893,0.176437,0.584745,0.728699,0.895811,0.976952,0.998372,0.033277
effort_clip_l14,all,score_raw,high,0.54707,0.54707,117,139,0.803054,0.183597,0.471529,0.709489,0.84302,0.959891,0.992422,0.82656,0.178359,0.524377,0.719722,0.886716,0.973117,0.996674,0.023506
f3net,calibration,score_raw,high,0.634783,0.634783,46,50,0.485017,0.129287,0.299872,0.420611,0.471503,0.574402,0.641836,0.553825,0.177267,0.256423,0.433574,0.576699,0.696453,0.822185,0.068808
f3net,all,score_raw,high,0.643731,0.643731,117,139,0.48701,0.136994,0.241853,0.400662,0.476599,0.591051,0.694653,0.566987,0.169799,0.291393,0.457244,0.570734,0.687663,0.833103,0.079977
i3d,calibration,score_raw,high,0.516087,0.516087,46,50,0.691134,0.02593,0.641071,0.677514,0.693189,0.713622,0.723252,0.692058,0.025326,0.645174,0.675996,0.69217,0.712574,0.723814,0.000923
i3d,all,score_raw,high,0.480539,0.480539,117,139,0.694961,0.024251,0.644691,0.682442,0.70186,0.713787,0.723782,0.694094,0.022995,0.652217,0.679568,0.696865,0.711207,0.725199,-0.000867
videomae,calibration,score_raw,low,0.443043,0.556957,46,50,0.482864,0.130494,0.27865,0.38721,0.501973,0.585279,0.672143,0.451324,0.184907,0.146899,0.352906,0.429621,0.580928,0.747898,-0.03154
videomae,all,score_raw,low,0.464244,0.535756,117,139,0.465412,0.148824,0.214637,0.362391,0.475896,0.570359,0.694205,0.442233,0.194459,0.126401,0.311092,0.432621,0.577747,0.761207,-0.023179
xception_df40,calibration,score_raw,high,0.523478,0.523478,46,50,0.709492,0.153293,0.487867,0.595281,0.709546,0.848443,0.929957,0.709466,0.193894,0.401523,0.582422,0.765714,0.870076,0.943613,-2.6e-05
xception_df40,all,score_raw,high,0.535756,0.535756,117,139,0.728606,0.17603,0.433279,0.610503,0.764925,0.862185,0.967257,0.736539,0.203855,0.318969,0.614163,0.799863,0.895475,0.969291,0.007933
