backend,signal_source,polarity,raw_auc_high_means_fake,effective_auc,selected_policy,strict_gate_met,relaxed_gate_met,threshold,t_on,t_off,persistence_windows,real_only_false_alerts_per_min,real_only_false_alert_time_ratio,target_recall,target_ttfd_s,precision,recall,f1,false_alerts_per_min,false_alert_time_ratio,time_to_first_detection_s,alert_flicker,tp_windows,fp_windows,fn_windows,tn_windows,predicted_alert_segments,false_alert_segments,fake_segments,detected_fake_segments,real_minutes,alert_active_minutes,alert_transitions,missing_windows,scored_windows,held_windows,missing_rate,run_count
efficientnet_b4,score_raw,low,0.45,0.55,strict_0.10,True,True,0.63,0.63,0.53,3,0.0,0.0,0.68,6.049779,0.607143,0.68,0.641509,0.526932,0.470726,6.049779,0.143678,34,22,16,24,5,15,104,75,28.466667,34.8,5,0,96,0,0.0,6
effort_clip_l14,score_raw,high,0.581304,0.581304,strict_0.10,True,True,0.99,0.99,0.89,1,0.0,0.0,0.2,14.296663,0.909091,0.2,0.327869,0.035129,0.017564,14.296663,1.791045,10,1,40,45,7,1,104,20,28.466667,6.7,12,0,96,0,0.0,6
f3net,score_raw,high,0.634783,0.634783,strict_0.10,True,True,0.55,0.55,0.45000000000000007,2,0.0,0.0,0.6,6.027269,0.588235,0.6,0.594059,0.421546,0.457845,6.027269,0.282132,30,21,20,25,6,12,104,72,28.466667,31.9,9,0,96,0,0.0,6
i3d,score_raw,high,0.516087,0.516087,strict_0.10,True,True,0.7,0.7,0.6499999999999999,2,0.0,0.0,0.7,6.40849,0.625,0.7,0.660377,0.491803,0.448478,6.40849,0.143678,35,21,15,25,5,14,104,68,28.466667,34.8,5,0,96,0,0.0,6
videomae,score_raw,low,0.443043,0.556957,strict_0.10,True,True,0.54,0.54,0.49000000000000005,2,0.1,0.05,0.72,5.209375,0.679245,0.72,0.699029,0.421546,0.359485,5.209375,0.273556,36,17,14,29,7,12,104,73,28.466667,32.9,9,0,96,0,0.0,6
xception_df40,score_raw,high,0.523478,0.523478,strict_0.10,True,True,0.88,0.88,0.78,2,0.0,0.0,0.12,15.003865,0.6,0.12,0.2,0.105386,0.088993,15.003865,0.631579,6,4,44,42,2,3,104,10,28.466667,6.333333,4,0,96,0,0.0,6
