backend,signal_source,polarity,raw_auc_high_means_fake,effective_auc,selected_policy,strict_gate_met,relaxed_gate_met,threshold,t_on,t_off,persistence_windows,real_only_false_alerts_per_min,real_only_false_alert_time_ratio,target_recall,target_f1,target_ttfd_s,precision,recall,f1,false_alerts_per_min,false_alert_time_ratio,time_to_first_detection_s,alert_flicker,tp_windows,fp_windows,fn_windows,tn_windows,predicted_alert_segments,false_alert_segments,fake_segments,detected_fake_segments,real_minutes,alert_active_minutes,alert_transitions,missing_windows,scored_windows,held_windows,missing_rate,run_count
efficientnet_b4,score_raw,low,0.464568,0.535432,nogate_maxf1,False,False,0.17,0.17,0.17,1,0.1,1.0,0.997222,0.7502612330198537,0.0,0.500697,0.997222,0.666667,2.466667,0.994444,0.0,0.066946,359,358,1,2,8,74,104,104,30.0,59.75,4,0,720,0,0.0,6
effort_clip_l14,score_raw,low,0.497663,0.502337,nogate_maxf1,False,False,0.05,0.05,0.0,1,0.1,1.0,0.977778,0.7434002111932417,0.379808,0.497878,0.977778,0.659794,2.466667,0.986111,0.379808,0.084866,352,355,8,5,7,74,104,103,30.0,58.916667,5,1,719,0,0.001389,6
f3net,score_raw,high,0.524506,0.524506,nogate_maxf1,False,False,0.2,0.2,0.2,3,0.2,0.958333,0.961111,0.7529923830250271,0.461279,0.513353,0.961111,0.669246,2.533333,0.911111,0.461279,0.462908,346,328,14,32,15,76,104,104,30.0,56.166667,26,0,720,0,0.0,6
i3d,score_raw,low,0.472965,0.527035,nogate_maxf1,False,False,0.01,0.01,0.01,1,0.1,1.0,0.997222,0.7486965589155371,0.0,0.499305,0.997222,0.665431,2.5,1.0,0.0,0.03338,359,360,1,0,7,75,104,104,30.0,59.916667,2,1,719,0,0.001389,6
videomae,score_raw,low,0.446667,0.553333,nogate_maxf1,False,False,0.12,0.12,0.06999999999999999,1,0.3,0.983333,0.988889,0.7550371155885471,0.149837,0.507846,0.988889,0.671065,2.533333,0.958333,0.149837,0.376605,356,345,4,15,17,76,104,104,30.0,58.416667,22,0,720,0,0.0,6
xception_df40,score_raw,low,0.479877,0.520123,nogate_maxf1,False,False,0.05,0.05,0.0,2,0.1,0.991667,0.969444,0.7433439829605963,0.530779,0.5,0.969444,0.659735,2.4,0.969444,0.530779,0.103152,349,349,11,11,6,72,104,101,30.0,58.166667,6,0,720,0,0.0,6
