run_id,status,split,kind,ordinal,model,session_name,video_path,labels_path,duration_s,runtime_s,buffer_s,prediction_rows,active_video_model,resolved_model_name,result_dir,started_at_iso,ended_at_iso,error
calibration_fake_only_02__videomae,success,calibration,fake_only,2,videomae,calibration_fake_only_02__videomae,C:\deepfake_eval\leakfree_eval_calibration_v2_2026-04-14\sessions\calibration\calibration_fake_only_02.mp4,C:\deepfake_eval\leakfree_eval_calibration_v2_2026-04-14\sessions\calibration\calibration_fake_only_02_labels.csv,600.333,600.333,15.0,2416,videomae,VideoMAE DF,C:\Users\weissach\Desktop\Y3\Y3-project\results_calibration_v2_live_2026-04-14\calibration_fake_only_02__videomae,2026-04-15T00:44:43Z,2026-04-15T00:55:20Z,
calibration_fake_only_02__xception_df40,success,calibration,fake_only,2,xception_df40,calibration_fake_only_02__xception_df40,C:\deepfake_eval\leakfree_eval_calibration_v2_2026-04-14\sessions\calibration\calibration_fake_only_02.mp4,C:\deepfake_eval\leakfree_eval_calibration_v2_2026-04-14\sessions\calibration\calibration_fake_only_02_labels.csv,600.333,600.333,15.0,4158,xception_df40,Xception DF40,C:\Users\weissach\Desktop\Y3\Y3-project\results_calibration_v2_live_2026-04-14\calibration_fake_only_02__xception_df40,2026-04-14T23:51:55Z,2026-04-15T00:02:26Z,
calibration_mixed_01__efficientnet_b4,success,calibration,mixed,1,efficientnet_b4,calibration_mixed_01__efficientnet_b4,C:\deepfake_eval\leakfree_eval_calibration_v2_2026-04-14\sessions\calibration\calibration_mixed_01.mp4,C:\deepfake_eval\leakfree_eval_calibration_v2_2026-04-14\sessions\calibration\calibration_mixed_01_labels.csv,602.333,602.333,15.0,3106,efficientnet_b4,EfficientNet-B4 DF,C:\Users\weissach\Desktop\Y3\Y3-project\results_calibration_v2_live_2026-04-14\calibration_mixed_01__efficientnet_b4,2026-04-15T01:16:36Z,2026-04-15T01:27:12Z,
calibration_mixed_01__effort_clip_l14,success,calibration,mixed,1,effort_clip_l14,calibration_mixed_01__effort_clip_l14,C:\deepfake_eval\leakfree_eval_calibration_v2_2026-04-14\sessions\calibration\calibration_mixed_01.mp4,C:\deepfake_eval\leakfree_eval_calibration_v2_2026-04-14\sessions\calibration\calibration_mixed_01_labels.csv,602.333,602.333,15.0,2949,effort_clip_l14,Effort CLIP-L14,C:\Users\weissach\Desktop\Y3\Y3-project\results_calibration_v2_live_2026-04-14\calibration_mixed_01__effort_clip_l14,2026-04-15T01:05:55Z,2026-04-15T01:16:36Z,
calibration_mixed_01__f3net,success,calibration,mixed,1,f3net,calibration_mixed_01__f3net,C:\deepfake_eval\leakfree_eval_calibration_v2_2026-04-14\sessions\calibration\calibration_mixed_01.mp4,C:\deepfake_eval\leakfree_eval_calibration_v2_2026-04-14\sessions\calibration\calibration_mixed_01_labels.csv,602.333,602.333,15.0,2985,f3net,F3Net DF,C:\Users\weissach\Desktop\Y3\Y3-project\results_calibration_v2_live_2026-04-14\calibration_mixed_01__f3net,2026-04-15T01:27:12Z,2026-04-15T01:37:47Z,
calibration_mixed_01__i3d,success,calibration,mixed,1,i3d,calibration_mixed_01__i3d,C:\deepfake_eval\leakfree_eval_calibration_v2_2026-04-14\sessions\calibration\calibration_mixed_01.mp4,C:\deepfake_eval\leakfree_eval_calibration_v2_2026-04-14\sessions\calibration\calibration_mixed_01_labels.csv,602.333,602.333,15.0,3425,i3d,I3D DF,C:\Users\weissach\Desktop\Y3\Y3-project\results_calibration_v2_live_2026-04-14\calibration_mixed_01__i3d,2026-04-15T01:37:47Z,2026-04-15T01:48:21Z,
calibration_mixed_01__videomae,success,calibration,mixed,1,videomae,calibration_mixed_01__videomae,C:\deepfake_eval\leakfree_eval_calibration_v2_2026-04-14\sessions\calibration\calibration_mixed_01.mp4,C:\deepfake_eval\leakfree_eval_calibration_v2_2026-04-14\sessions\calibration\calibration_mixed_01_labels.csv,602.333,602.333,15.0,2682,videomae,VideoMAE DF,C:\Users\weissach\Desktop\Y3\Y3-project\results_calibration_v2_live_2026-04-14\calibration_mixed_01__videomae,2026-04-15T01:48:21Z,2026-04-15T01:59:01Z,
calibration_mixed_01__xception_df40,success,calibration,mixed,1,xception_df40,calibration_mixed_01__xception_df40,C:\deepfake_eval\leakfree_eval_calibration_v2_2026-04-14\sessions\calibration\calibration_mixed_01.mp4,C:\deepfake_eval\leakfree_eval_calibration_v2_2026-04-14\sessions\calibration\calibration_mixed_01_labels.csv,602.333,602.333,15.0,3639,xception_df40,Xception DF40,C:\Users\weissach\Desktop\Y3\Y3-project\results_calibration_v2_live_2026-04-14\calibration_mixed_01__xception_df40,2026-04-15T00:55:20Z,2026-04-15T01:05:55Z,
calibration_mixed_02__efficientnet_b4,success,calibration,mixed,2,efficientnet_b4,calibration_mixed_02__efficientnet_b4,C:\deepfake_eval\leakfree_eval_calibration_v2_2026-04-14\sessions\calibration\calibration_mixed_02.mp4,C:\deepfake_eval\leakfree_eval_calibration_v2_2026-04-14\sessions\calibration\calibration_mixed_02_labels.csv,605.9,605.9,15.0,2274,efficientnet_b4,EfficientNet-B4 DF,C:\Users\weissach\Desktop\Y3\Y3-project\results_calibration_v2_live_2026-04-14\calibration_mixed_02__efficientnet_b4,2026-04-15T02:20:22Z,2026-04-15T02:31:04Z,
calibration_mixed_02__effort_clip_l14,success,calibration,mixed,2,effort_clip_l14,calibration_mixed_02__effort_clip_l14,C:\deepfake_eval\leakfree_eval_calibration_v2_2026-04-14\sessions\calibration\calibration_mixed_02.mp4,C:\deepfake_eval\leakfree_eval_calibration_v2_2026-04-14\sessions\calibration\calibration_mixed_02_labels.csv,605.9,605.9,15.0,3261,effort_clip_l14,Effort CLIP-L14,C:\Users\weissach\Desktop\Y3\Y3-project\results_calibration_v2_live_2026-04-14\calibration_mixed_02__effort_clip_l14,2026-04-15T02:09:40Z,2026-04-15T02:20:22Z,
calibration_mixed_02__f3net,success,calibration,mixed,2,f3net,calibration_mixed_02__f3net,C:\deepfake_eval\leakfree_eval_calibration_v2_2026-04-14\sessions\calibration\calibration_mixed_02.mp4,C:\deepfake_eval\leakfree_eval_calibration_v2_2026-04-14\sessions\calibration\calibration_mixed_02_labels.csv,605.9,605.9,15.0,3367,f3net,F3Net DF,C:\Users\weissach\Desktop\Y3\Y3-project\results_calibration_v2_live_2026-04-14\calibration_mixed_02__f3net,2026-04-15T02:31:04Z,2026-04-15T02:41:44Z,
calibration_mixed_02__i3d,success,calibration,mixed,2,i3d,calibration_mixed_02__i3d,C:\deepfake_eval\leakfree_eval_calibration_v2_2026-04-14\sessions\calibration\calibration_mixed_02.mp4,C:\deepfake_eval\leakfree_eval_calibration_v2_2026-04-14\sessions\calibration\calibration_mixed_02_labels.csv,605.9,605.9,15.0,2830,i3d,I3D DF,C:\Users\weissach\Desktop\Y3\Y3-project\results_calibration_v2_live_2026-04-14\calibration_mixed_02__i3d,2026-04-15T02:41:44Z,2026-04-15T02:52:24Z,
calibration_mixed_02__videomae,success,calibration,mixed,2,videomae,calibration_mixed_02__videomae,C:\deepfake_eval\leakfree_eval_calibration_v2_2026-04-14\sessions\calibration\calibration_mixed_02.mp4,C:\deepfake_eval\leakfree_eval_calibration_v2_2026-04-14\sessions\calibration\calibration_mixed_02_labels.csv,605.9,605.9,15.0,6063,videomae,VideoMAE DF,C:\Users\weissach\Desktop\Y3\Y3-project\results_calibration_v2_live_2026-04-14\calibration_mixed_02__videomae,2026-04-15T08:01:34Z,2026-04-15T08:12:21Z,
