backend,signal_source,polarity,raw_auc_high_means_fake,effective_auc,selected_policy,strict_gate_met,relaxed_gate_met,threshold,t_on,t_off,persistence_windows,real_only_false_alerts_per_min,real_only_false_alert_time_ratio,target_recall,target_ttfd_s,precision,recall,f1,false_alerts_per_min,false_alert_time_ratio,time_to_first_detection_s,alert_flicker,tp_windows,fp_windows,fn_windows,tn_windows,predicted_alert_segments,false_alert_segments,fake_segments,detected_fake_segments,real_minutes,alert_active_minutes,alert_transitions,missing_windows,scored_windows,held_windows,missing_rate,run_count
efficientnet_b4,score_raw,high,0.500626,0.500626,strict_0.10,True,True,0.53,0.53,0.43000000000000005,1,0.1,0.05,0.129032,14.06999,0.516129,0.129032,0.206452,0.482759,0.12931,14.06999,5.290323,16,15,108,101,21,14,104,28,29.0,7.75,41,0,240,0,0.0,6
effort_clip_l14,score_raw,high,0.506605,0.506605,strict_0.10,True,True,0.99,0.99,0.89,2,0.0,0.0,0.177419,14.382337,0.709677,0.177419,0.283871,0.310345,0.077586,14.382337,1.806452,22,9,102,107,8,9,104,22,29.0,7.75,14,0,240,0,0.0,6
f3net,score_raw,high,0.547831,0.547831,strict_0.10,True,True,0.53,0.53,0.43000000000000005,3,0.0,0.0,0.548387,7.504635,0.641509,0.548387,0.591304,1.103448,0.327586,7.504635,0.566038,68,38,56,78,9,32,104,58,29.0,26.5,15,0,240,0,0.0,6
i3d,score_raw,high,0.502642,0.502642,strict_0.10,True,True,0.71,0.71,0.61,3,0.0,0.0,0.612903,6.853067,0.612903,0.612903,0.612903,1.275862,0.413793,6.853067,0.129032,76,48,48,68,4,37,104,63,29.0,31.0,4,0,240,0,0.0,6
videomae,score_raw,low,0.43465,0.56535,strict_0.10,True,True,0.69,0.69,0.59,2,0.0,0.0,0.379032,10.500394,0.701493,0.379032,0.492147,0.586207,0.172414,10.500394,1.552239,47,20,77,96,13,17,104,38,29.0,16.75,26,0,240,0,0.0,6
xception_df40,score_raw,low,0.494577,0.505423,strict_0.10,True,True,0.52,0.52,0.52,2,0.1,0.05,0.16129,14.134558,0.689655,0.16129,0.261438,0.206897,0.077586,14.134558,3.310345,20,9,104,107,12,6,104,19,29.0,7.25,24,0,240,0,0.0,6
