backend,scope,signal_source,polarity,auc_high_means_fake,effective_auc,real_count,fake_count,real_mean,real_std,real_p05,real_p25,real_p50,real_p75,real_p95,fake_mean,fake_std,fake_p05,fake_p25,fake_p50,fake_p75,fake_p95,mean_gap_fake_minus_real
efficientnet_b4,calibration,score_raw,high,0.535108,0.535108,48,54,0.341732,0.11818,0.158419,0.279748,0.324542,0.4095,0.536674,0.349242,0.115128,0.144158,0.263956,0.347221,0.433083,0.537768,0.00751
efficientnet_b4,all,score_raw,high,0.492281,0.492281,126,146,0.344258,0.123971,0.164087,0.261914,0.325958,0.413338,0.565912,0.339739,0.127062,0.140051,0.250294,0.341394,0.425918,0.563769,-0.004519
effort_clip_l14,calibration,score_raw,high,0.519676,0.519676,48,54,0.820337,0.161035,0.606605,0.719402,0.855724,0.96302,0.985753,0.818515,0.180949,0.465901,0.720518,0.867763,0.958991,0.994407,-0.001822
effort_clip_l14,all,score_raw,high,0.530931,0.530931,126,146,0.806737,0.19191,0.455839,0.701764,0.870019,0.958451,0.985846,0.82281,0.180059,0.453621,0.712097,0.887609,0.963399,0.99411,0.016073
f3net,calibration,score_raw,high,0.657407,0.657407,48,54,0.474522,0.150075,0.284741,0.36185,0.462872,0.570636,0.685608,0.561484,0.17176,0.245552,0.472833,0.534818,0.691123,0.812147,0.086962
f3net,all,score_raw,high,0.647532,0.647532,126,146,0.480114,0.157172,0.232618,0.357982,0.479917,0.594439,0.722263,0.572843,0.167983,0.32302,0.461108,0.544483,0.692124,0.844121,0.092728
i3d,calibration,score_raw,high,0.528935,0.528935,48,54,0.690025,0.028678,0.625088,0.680096,0.695803,0.709064,0.72705,0.693414,0.026254,0.649288,0.675166,0.698947,0.715879,0.726908,0.00339
i3d,all,score_raw,high,0.51821,0.51821,126,146,0.693669,0.025675,0.643812,0.682247,0.697359,0.711853,0.726543,0.6956,0.024175,0.654705,0.677776,0.700655,0.715891,0.728129,0.001931
videomae,calibration,score_raw,low,0.424769,0.575231,48,54,0.494235,0.148604,0.275408,0.399601,0.503753,0.609708,0.692133,0.443003,0.174571,0.125474,0.33083,0.441261,0.58359,0.693273,-0.051232
videomae,all,score_raw,low,0.454718,0.545282,126,146,0.468478,0.170854,0.175865,0.35413,0.473166,0.583622,0.761026,0.439448,0.185472,0.118477,0.303495,0.450632,0.576317,0.739054,-0.02903
xception_df40,calibration,score_raw,low,0.40625,0.59375,48,54,0.743248,0.16033,0.457833,0.660604,0.761937,0.875877,0.951852,0.681276,0.18275,0.418371,0.555179,0.69511,0.851222,0.936413,-0.061972
xception_df40,all,score_raw,low,0.488748,0.511252,126,146,0.739136,0.182821,0.369054,0.645326,0.771866,0.886823,0.95798,0.727851,0.195965,0.406313,0.569033,0.742941,0.895021,0.977806,-0.011285
