run_id,backend,split,kind,ordinal,video_filename,video_duration_s,signal_source,pred_t_min,pred_t_max,end_align_shift_s,scored_window_count,held_window_count,missing_window_count
calibration_fake_only_02__i3d,i3d,calibration,fake_only,2,calibration_fake_only_02.mp4,600,score_raw,1.297,610.516,10.516,40,0,0
calibration_mixed_01__i3d,i3d,calibration,mixed,1,calibration_mixed_01.mp4,602,score_raw,1.454,612.375,10.375,41,0,0
calibration_mixed_02__i3d,i3d,calibration,mixed,2,calibration_mixed_02.mp4,606,score_raw,1.266,613.782,7.782,41,0,0
calibration_mixed_03__i3d,i3d,calibration,mixed,3,calibration_mixed_03.mp4,603,score_raw,1.297,612.25,9.25,41,0,0
calibration_mixed_04__i3d,i3d,calibration,mixed,4,calibration_mixed_04.mp4,600,score_raw,0.5,610.5,10.5,40,0,0
calibration_real_only_01__i3d,i3d,calibration,real_only,1,calibration_real_only_01.mp4,600,score_raw,0.719,609.344,9.344,40,0,0
calibration_real_only_02__i3d,i3d,calibration,real_only,2,calibration_real_only_02.mp4,604,score_raw,0.469,613.594,9.594,41,0,0
calibration_real_only_03__i3d,i3d,calibration,real_only,3,calibration_real_only_03.mp4,600,score_raw,0.515,610.312,10.312,40,0,0
test_fake_only_01__i3d,i3d,test,fake_only,1,test_fake_only_01.mp4,600,score_raw,0.094,610.641,10.641,40,0,0
test_mixed_01__i3d,i3d,test,mixed,1,test_mixed_01.mp4,600,score_raw,0.14,610.234,10.234,40,0,0
test_mixed_02__i3d,i3d,test,mixed,2,test_mixed_02.mp4,600,score_raw,0.109,610.734,10.734,40,0,0
test_mixed_03__i3d,i3d,test,mixed,3,test_mixed_03.mp4,600,score_raw,0.109,610.515,10.515,40,0,0
test_real_only_01__i3d,i3d,test,real_only,1,test_real_only_01.mp4,600,score_raw,0.109,610.469,10.469,40,0,0
validation_fake_only_01__i3d,i3d,validation,fake_only,1,validation_fake_only_01.mp4,600,score_raw,0.109,610.25,10.25,40,0,0
validation_mixed_01__i3d,i3d,validation,mixed,1,validation_mixed_01.mp4,600,score_raw,0.109,610.203,10.203,40,0,0
validation_mixed_02__i3d,i3d,validation,mixed,2,validation_mixed_02.mp4,600,score_raw,0.094,610.172,10.172,37,0,3
validation_mixed_03__i3d,i3d,validation,mixed,3,validation_mixed_03.mp4,600,score_raw,0.11,610.141,10.141,40,0,0
validation_real_only_01__i3d,i3d,validation,real_only,1,validation_real_only_01.mp4,600,score_raw,0.093,610.156,10.156,40,0,0
calibration_fake_only_01__videomae,videomae,calibration,fake_only,1,calibration_fake_only_01.mp4,600,score_raw,0.812,608.593,8.593,40,0,0
calibration_fake_only_02__videomae,videomae,calibration,fake_only,2,calibration_fake_only_02.mp4,600,score_raw,1.25,610.469,10.469,40,0,0
calibration_mixed_01__videomae,videomae,calibration,mixed,1,calibration_mixed_01.mp4,602,score_raw,0.625,611.532,9.532,41,0,0
calibration_mixed_02__videomae,videomae,calibration,mixed,2,calibration_mixed_02.mp4,606,score_raw,1.281,615.609,9.609,41,0,0
calibration_mixed_03__videomae,videomae,calibration,mixed,3,calibration_mixed_03.mp4,603,score_raw,1.328,611.61,8.61,41,0,0
calibration_mixed_04__videomae,videomae,calibration,mixed,4,calibration_mixed_04.mp4,600,score_raw,0.5,610.453,10.453,40,0,0
calibration_real_only_01__videomae,videomae,calibration,real_only,1,calibration_real_only_01.mp4,600,score_raw,0.453,610.672,10.672,40,0,0
calibration_real_only_02__videomae,videomae,calibration,real_only,2,calibration_real_only_02.mp4,604,score_raw,0.5,612.922,8.922,41,0,0
calibration_real_only_03__videomae,videomae,calibration,real_only,3,calibration_real_only_03.mp4,600,score_raw,0.484,611.046,11.046,40,0,0
test_fake_only_01__videomae,videomae,test,fake_only,1,test_fake_only_01.mp4,600,score_raw,0.093,610.047,10.047,40,0,0
test_mixed_01__videomae,videomae,test,mixed,1,test_mixed_01.mp4,600,score_raw,0.109,610.547,10.547,40,0,0
test_mixed_02__videomae,videomae,test,mixed,2,test_mixed_02.mp4,600,score_raw,0.109,610.047,10.047,40,0,0
test_mixed_03__videomae,videomae,test,mixed,3,test_mixed_03.mp4,600,score_raw,0.094,610.063,10.063,40,0,0
test_real_only_01__videomae,videomae,test,real_only,1,test_real_only_01.mp4,600,score_raw,0.109,610.297,10.297,40,0,0
validation_fake_only_01__videomae,videomae,validation,fake_only,1,validation_fake_only_01.mp4,600,score_raw,0.109,610.031,10.031,40,0,0
validation_mixed_01__videomae,videomae,validation,mixed,1,validation_mixed_01.mp4,600,score_raw,0.11,610.578,10.578,40,0,0
validation_mixed_02__videomae,videomae,validation,mixed,2,validation_mixed_02.mp4,600,score_raw,0.094,610.344,10.344,40,0,0
validation_mixed_03__videomae,videomae,validation,mixed,3,validation_mixed_03.mp4,600,score_raw,0.11,610.36,10.36,40,0,0
validation_real_only_01__videomae,videomae,validation,real_only,1,validation_real_only_01.mp4,600,score_raw,0.11,610.344,10.344,40,0,0
calibration_fake_only_01__xception_df40,xception_df40,calibration,fake_only,1,calibration_fake_only_01.mp4,600,score_raw,1.735,600.735,0.735,40,0,0
calibration_fake_only_02__xception_df40,xception_df40,calibration,fake_only,2,calibration_fake_only_02.mp4,600,score_raw,0.547,609.734,9.734,40,0,0
calibration_mixed_01__xception_df40,xception_df40,calibration,mixed,1,calibration_mixed_01.mp4,602,score_raw,1.094,610.906,8.906,41,0,0
calibration_mixed_02__xception_df40,xception_df40,calibration,mixed,2,calibration_mixed_02.mp4,606,score_raw,1.39,614.75,8.75,41,0,0
calibration_mixed_03__xception_df40,xception_df40,calibration,mixed,3,calibration_mixed_03.mp4,603,score_raw,1.359,613.047,10.047,41,0,0
calibration_mixed_04__xception_df40,xception_df40,calibration,mixed,4,calibration_mixed_04.mp4,600,score_raw,1.516,608.719,8.719,40,0,0
calibration_real_only_01__xception_df40,xception_df40,calibration,real_only,1,calibration_real_only_01.mp4,600,score_raw,0.656,610.547,10.547,40,0,0
calibration_real_only_02__xception_df40,xception_df40,calibration,real_only,2,calibration_real_only_02.mp4,604,score_raw,0.641,613.797,9.797,41,0,0
calibration_real_only_03__xception_df40,xception_df40,calibration,real_only,3,calibration_real_only_03.mp4,600,score_raw,0.594,609.406,9.406,40,0,0
test_fake_only_01__xception_df40,xception_df40,test,fake_only,1,test_fake_only_01.mp4,600,score_raw,0.344,610.344,10.344,40,0,0
test_mixed_01__xception_df40,xception_df40,test,mixed,1,test_mixed_01.mp4,600,score_raw,0.343,610.718,10.718,40,0,0
test_mixed_02__xception_df40,xception_df40,test,mixed,2,test_mixed_02.mp4,600,score_raw,0.36,610.782,10.782,40,0,0
test_mixed_03__xception_df40,xception_df40,test,mixed,3,test_mixed_03.mp4,600,score_raw,0.375,610.078,10.078,40,0,0
test_real_only_01__xception_df40,xception_df40,test,real_only,1,test_real_only_01.mp4,600,score_raw,0.36,610.532,10.532,40,0,0
validation_fake_only_01__xception_df40,xception_df40,validation,fake_only,1,validation_fake_only_01.mp4,600,score_raw,0.359,610.156,10.156,40,0,0
validation_mixed_01__xception_df40,xception_df40,validation,mixed,1,validation_mixed_01.mp4,600,score_raw,0.328,610.328,10.328,40,0,0
validation_mixed_02__xception_df40,xception_df40,validation,mixed,2,validation_mixed_02.mp4,600,score_raw,0.329,610.516,10.516,40,0,0
validation_mixed_03__xception_df40,xception_df40,validation,mixed,3,validation_mixed_03.mp4,600,score_raw,0.375,610.469,10.469,40,0,0
validation_real_only_01__xception_df40,xception_df40,validation,real_only,1,validation_real_only_01.mp4,600,score_raw,0.375,610.219,10.219,40,0,0
