rank,winner,backend,signal_source,polarity,selected_policy,strict_gate_met,relaxed_gate_met,persistence_windows,t_on,t_off,precision,recall,f1,false_alerts_per_min,false_alert_time_ratio,time_to_first_detection_s,alert_flicker,tp_windows,fp_windows,fn_windows,tn_windows,predicted_alert_segments,false_alert_segments,fake_segments,detected_fake_segments,real_minutes,alert_active_minutes,alert_transitions,missing_windows,scored_windows,held_windows,missing_rate,run_count
1,True,xception_df40,score_raw,low,strict_0.10,True,True,3,0.25,0.2,0.625,0.16129,0.25641,0.082759,0.103448,15.413714,0.6,5,3,26,26,3,2,84,11,24.166667,6.666667,4,0,60,0,0.0,5
2,False,i3d,score_raw,low,strict_0.10,True,True,2,0.31,0.26,0.2,0.129032,0.156863,0.124138,0.551724,15.13125,0.18,4,16,27,13,3,3,84,11,24.166667,16.666667,3,0,60,0,0.0,5
3,False,efficientnet_b4,score_raw,high,strict_0.10,True,True,3,0.32,0.27,0.518519,0.451613,0.482759,0.165517,0.448276,10.400643,0.222222,14,13,17,16,4,4,84,34,24.166667,22.5,5,0,60,0,0.0,5
4,False,effort_clip_l14,score_raw,high,strict_0.10,True,True,2,0.93,0.8300000000000001,0.611111,0.354839,0.44898,0.165517,0.241379,10.672988,0.466667,11,7,20,22,4,4,84,36,24.166667,15.0,7,0,60,0,0.0,5
5,False,f3net,score_raw,high,strict_0.10,True,True,2,0.52,0.42000000000000004,0.518519,0.451613,0.482759,0.206897,0.448276,9.644452,0.266667,14,13,17,16,4,5,84,37,24.166667,22.5,6,0,60,0,0.0,5
6,False,videomae,score_raw,low,strict_0.10,True,True,1,0.64,0.54,0.533333,0.258065,0.347826,0.206897,0.241379,13.339714,1.28,8,7,23,22,9,5,84,20,24.166667,12.5,16,0,60,0,0.0,5
