backend,signal_source,polarity,raw_auc_high_means_fake,effective_auc,selected_policy,strict_gate_met,relaxed_gate_met,threshold,t_on,t_off,persistence_windows,real_only_false_alerts_per_min,real_only_false_alert_time_ratio,target_recall,target_ttfd_s,precision,recall,f1,false_alerts_per_min,false_alert_time_ratio,time_to_first_detection_s,alert_flicker,tp_windows,fp_windows,fn_windows,tn_windows,predicted_alert_segments,false_alert_segments,fake_segments,detected_fake_segments,real_minutes,alert_active_minutes,alert_transitions,missing_windows,scored_windows,held_windows,missing_rate,run_count
efficientnet_b4,score_raw,low,0.465409,0.534591,strict_0.10,True,True,0.88,0.88,0.83,1,0.1,0.011667,0.123552,14.443269,0.695652,0.123552,0.209836,0.301508,0.053601,14.443269,5.4375,32,14,227,243,15,9,104,15,29.85,5.333333,29,0,516,0,0.0,6
effort_clip_l14,score_raw,low,0.48892,0.51108,strict_0.10,True,True,0.38,0.38,0.33,3,0.1,0.008333,0.158301,14.133587,0.61194,0.158301,0.251534,0.335008,0.100503,14.133587,3.72591,41,26,218,231,15,10,104,18,29.85,7.783333,29,0,516,0,0.0,6
f3net,score_raw,high,0.523294,0.523294,strict_0.10,True,True,0.61,0.61,0.51,3,0.1,0.046667,0.46332,9.085817,0.645161,0.46332,0.539326,1.105528,0.25684,9.085817,1.941448,120,66,139,191,22,33,104,57,29.85,21.633333,42,0,516,0,0.0,6
i3d,score_raw,low,0.475296,0.524704,strict_0.10,True,True,0.33,0.33,0.33,3,0.1,0.035,0.181467,13.683269,0.746032,0.181467,0.291925,0.234506,0.062535,13.683269,3.537415,47,16,212,241,13,7,104,21,29.85,7.35,26,1,515,0,0.001938,6
videomae,score_raw,low,0.448823,0.551177,strict_0.10,True,True,0.7,0.7,0.6,3,0.1,0.046667,0.355212,10.74599,0.666667,0.355212,0.463476,0.80402,0.179788,10.74599,2.236025,92,46,167,211,18,24,104,37,29.85,16.1,36,0,516,0,0.0,6
xception_df40,score_raw,low,0.483241,0.516759,strict_0.10,True,True,0.73,0.73,0.73,3,0.1,0.035,0.081081,15.677192,0.538462,0.081081,0.14094,0.201005,0.070352,15.677192,4.395604,21,18,238,239,10,6,104,11,29.85,4.55,20,0,516,0,0.0,6
