backend,split,precision,recall,f1,false_alerts_per_min,false_alert_time_ratio,time_to_first_detection_s,alert_flicker,tp_windows,fp_windows,fn_windows,tn_windows,predicted_alert_segments,false_alert_segments,fake_segments,detected_fake_segments,real_minutes,alert_active_minutes,alert_transitions,missing_windows,scored_windows,held_windows,missing_rate,run_count
always_real,validation,0.0,0.0,0.0,0.0,0.0,17.857143,0.0,0,0,228,222,0,0,504,0,146.4,0.0,0,1,449,0,0.002222,30
always_real,test,0.0,0.0,0.0,0.0,0.0,18.292707,0.0,0,0,222,228,0,0,492,0,147.6,0.0,0,0,450,0,0.0,30
always_fake,validation,0.506667,1.0,0.672566,0.491803,1.0,0.0,0.0,228,222,0,0,30,72,504,504,146.4,300.0,0,1,449,0,0.002222,30
always_fake,test,0.493333,1.0,0.660714,0.487805,1.0,0.0,0.0,222,228,0,0,30,72,492,492,147.6,300.0,0,0,450,0,0.0,30
