run_id,backend,split,kind,ordinal,video_filename,video_duration_s,signal_source,pred_t_min,pred_t_max,end_align_shift_s,scored_window_count,held_window_count,missing_window_count
test_real_only_01__f3net,f3net,test,real_only,1,test_real_only_01.mp4,600,score_raw,0.999,599.999,-0.001,599,1,0
validation_fake_only_01__f3net,f3net,validation,fake_only,1,validation_fake_only_01.mp4,600,score_raw,0.999,599.999,-0.001,599,1,0
validation_mixed_01__f3net,f3net,validation,mixed,1,validation_mixed_01.mp4,600,score_raw,0.999,599.999,-0.001,599,1,0
validation_mixed_02__f3net,f3net,validation,mixed,2,validation_mixed_02.mp4,600,score_raw,0.999,599.999,-0.001,599,1,0
validation_mixed_03__f3net,f3net,validation,mixed,3,validation_mixed_03.mp4,600,score_raw,0.999,599.999,-0.001,599,1,0
validation_real_only_01__f3net,f3net,validation,real_only,1,validation_real_only_01.mp4,600,score_raw,0.999,599.999,-0.001,599,1,0
calibration_fake_only_01__i3d,i3d,calibration,fake_only,1,calibration_fake_only_01.mp4,600,score_raw,0.999,599.999,-0.001,584,1,15
calibration_mixed_01__i3d,i3d,calibration,mixed,1,calibration_mixed_01.mp4,600,score_raw,0.999,599.999,-0.001,584,1,15
calibration_mixed_02__i3d,i3d,calibration,mixed,2,calibration_mixed_02.mp4,600,score_raw,0.999,599.999,-0.001,584,1,15
calibration_mixed_03__i3d,i3d,calibration,mixed,3,calibration_mixed_03.mp4,600,score_raw,0.999,599.999,-0.001,584,1,15
calibration_mixed_04__i3d,i3d,calibration,mixed,4,calibration_mixed_04.mp4,600,score_raw,0.999,599.999,-0.001,584,1,15
calibration_real_only_01__i3d,i3d,calibration,real_only,1,calibration_real_only_01.mp4,600,score_raw,0.999,599.999,-0.001,584,1,15
test_fake_only_01__i3d,i3d,test,fake_only,1,test_fake_only_01.mp4,600,score_raw,0.999,598.999,-1.001,583,1,16
test_mixed_01__i3d,i3d,test,mixed,1,test_mixed_01.mp4,600,score_raw,0.999,599.999,-0.001,584,1,15
test_mixed_02__i3d,i3d,test,mixed,2,test_mixed_02.mp4,600,score_raw,0.999,599.999,-0.001,584,1,15
test_mixed_03__i3d,i3d,test,mixed,3,test_mixed_03.mp4,600,score_raw,0.999,599.999,-0.001,584,1,15
test_real_only_01__i3d,i3d,test,real_only,1,test_real_only_01.mp4,600,score_raw,0.999,599.999,-0.001,584,1,15
validation_fake_only_01__i3d,i3d,validation,fake_only,1,validation_fake_only_01.mp4,600,score_raw,0.999,599.999,-0.001,584,1,15
validation_mixed_01__i3d,i3d,validation,mixed,1,validation_mixed_01.mp4,600,score_raw,0.999,599.999,-0.001,584,1,15
validation_mixed_02__i3d,i3d,validation,mixed,2,validation_mixed_02.mp4,600,score_raw,0.999,599.999,-0.001,584,1,15
validation_mixed_03__i3d,i3d,validation,mixed,3,validation_mixed_03.mp4,600,score_raw,0.999,599.999,-0.001,584,1,15
validation_real_only_01__i3d,i3d,validation,real_only,1,validation_real_only_01.mp4,600,score_raw,0.999,599.999,-0.001,584,1,15
calibration_fake_only_01__videomae,videomae,calibration,fake_only,1,calibration_fake_only_01.mp4,600,score_raw,0.999,599.999,-0.001,584,1,15
calibration_mixed_01__videomae,videomae,calibration,mixed,1,calibration_mixed_01.mp4,600,score_raw,0.999,599.999,-0.001,584,1,15
calibration_mixed_02__videomae,videomae,calibration,mixed,2,calibration_mixed_02.mp4,600,score_raw,0.999,599.999,-0.001,584,1,15
calibration_mixed_03__videomae,videomae,calibration,mixed,3,calibration_mixed_03.mp4,600,score_raw,0.999,599.999,-0.001,584,1,15
calibration_mixed_04__videomae,videomae,calibration,mixed,4,calibration_mixed_04.mp4,600,score_raw,0.999,599.999,-0.001,584,1,15
calibration_real_only_01__videomae,videomae,calibration,real_only,1,calibration_real_only_01.mp4,600,score_raw,0.999,599.999,-0.001,584,1,15
test_fake_only_01__videomae,videomae,test,fake_only,1,test_fake_only_01.mp4,600,score_raw,0.999,598.999,-1.001,583,1,16
test_mixed_01__videomae,videomae,test,mixed,1,test_mixed_01.mp4,600,score_raw,0.999,599.999,-0.001,584,1,15
test_mixed_02__videomae,videomae,test,mixed,2,test_mixed_02.mp4,600,score_raw,0.999,599.999,-0.001,584,1,15
test_mixed_03__videomae,videomae,test,mixed,3,test_mixed_03.mp4,600,score_raw,0.999,599.999,-0.001,584,1,15
test_real_only_01__videomae,videomae,test,real_only,1,test_real_only_01.mp4,600,score_raw,0.999,599.999,-0.001,584,1,15
validation_fake_only_01__videomae,videomae,validation,fake_only,1,validation_fake_only_01.mp4,600,score_raw,0.999,599.999,-0.001,584,1,15
validation_mixed_01__videomae,videomae,validation,mixed,1,validation_mixed_01.mp4,600,score_raw,0.999,599.999,-0.001,584,1,15
validation_mixed_02__videomae,videomae,validation,mixed,2,validation_mixed_02.mp4,600,score_raw,0.999,599.999,-0.001,584,1,15
validation_mixed_03__videomae,videomae,validation,mixed,3,validation_mixed_03.mp4,600,score_raw,0.999,599.999,-0.001,584,1,15
validation_real_only_01__videomae,videomae,validation,real_only,1,validation_real_only_01.mp4,600,score_raw,0.999,599.999,-0.001,584,1,15
calibration_fake_only_01__xception_df40,xception_df40,calibration,fake_only,1,calibration_fake_only_01.mp4,600,score_raw,0.999,599.999,-0.001,599,1,0
calibration_mixed_01__xception_df40,xception_df40,calibration,mixed,1,calibration_mixed_01.mp4,600,score_raw,0.999,599.999,-0.001,599,1,0
calibration_mixed_02__xception_df40,xception_df40,calibration,mixed,2,calibration_mixed_02.mp4,600,score_raw,0.999,599.999,-0.001,599,1,0
calibration_mixed_03__xception_df40,xception_df40,calibration,mixed,3,calibration_mixed_03.mp4,600,score_raw,0.999,599.999,-0.001,599,1,0
calibration_mixed_04__xception_df40,xception_df40,calibration,mixed,4,calibration_mixed_04.mp4,600,score_raw,0.999,599.999,-0.001,599,1,0
calibration_real_only_01__xception_df40,xception_df40,calibration,real_only,1,calibration_real_only_01.mp4,600,score_raw,0.999,599.999,-0.001,599,1,0
test_fake_only_01__xception_df40,xception_df40,test,fake_only,1,test_fake_only_01.mp4,600,score_raw,0.999,598.999,-1.001,598,1,1
test_mixed_01__xception_df40,xception_df40,test,mixed,1,test_mixed_01.mp4,600,score_raw,0.999,599.999,-0.001,599,1,0
test_mixed_02__xception_df40,xception_df40,test,mixed,2,test_mixed_02.mp4,600,score_raw,0.999,599.999,-0.001,599,1,0
test_mixed_03__xception_df40,xception_df40,test,mixed,3,test_mixed_03.mp4,600,score_raw,0.999,599.999,-0.001,599,1,0
test_real_only_01__xception_df40,xception_df40,test,real_only,1,test_real_only_01.mp4,600,score_raw,0.999,599.999,-0.001,599,1,0
validation_fake_only_01__xception_df40,xception_df40,validation,fake_only,1,validation_fake_only_01.mp4,600,score_raw,0.999,599.999,-0.001,599,1,0
validation_mixed_01__xception_df40,xception_df40,validation,mixed,1,validation_mixed_01.mp4,600,score_raw,0.999,599.999,-0.001,599,1,0
validation_mixed_02__xception_df40,xception_df40,validation,mixed,2,validation_mixed_02.mp4,600,score_raw,0.999,599.999,-0.001,599,1,0
validation_mixed_03__xception_df40,xception_df40,validation,mixed,3,validation_mixed_03.mp4,600,score_raw,0.999,599.999,-0.001,599,1,0
validation_real_only_01__xception_df40,xception_df40,validation,real_only,1,validation_real_only_01.mp4,600,score_raw,0.999,599.999,-0.001,599,1,0
