backend,scope,signal_source,polarity,auc_high_means_fake,effective_auc,real_count,fake_count,real_mean,real_std,real_p05,real_p25,real_p50,real_p75,real_p95,fake_mean,fake_std,fake_p05,fake_p25,fake_p50,fake_p75,fake_p95,mean_gap_fake_minus_real
efficientnet_b4,calibration,score_raw,low,0.468961,0.531039,74,64,0.349864,0.118258,0.168854,0.251668,0.352394,0.442431,0.539511,0.338785,0.136703,0.130904,0.254074,0.324825,0.414606,0.551557,-0.01108
efficientnet_b4,all,score_raw,low,0.498347,0.501653,201,167,0.338709,0.121002,0.164163,0.247232,0.321659,0.42541,0.5354,0.344795,0.153422,0.123406,0.23833,0.326959,0.427365,0.627892,0.006086
effort_clip_l14,calibration,score_raw,high,0.503378,0.503378,74,64,0.823318,0.193253,0.487539,0.731002,0.894729,0.970653,0.994822,0.812567,0.210258,0.317949,0.740067,0.887621,0.980246,0.999155,-0.010752
effort_clip_l14,all,score_raw,high,0.545327,0.545327,201,167,0.801806,0.214386,0.372413,0.684796,0.882028,0.965374,0.99655,0.831182,0.196893,0.458626,0.751914,0.898408,0.979815,0.99897,0.029377
f3net,calibration,score_raw,high,0.540752,0.540752,74,64,0.503048,0.168727,0.231253,0.395389,0.513426,0.603944,0.771258,0.535585,0.210442,0.212952,0.369875,0.540503,0.701955,0.864275,0.032537
f3net,all,score_raw,high,0.576846,0.576846,201,167,0.501593,0.1625,0.233488,0.390604,0.515696,0.605571,0.745117,0.559352,0.202248,0.224777,0.419686,0.552799,0.710515,0.877388,0.057759
i3d,calibration,score_raw,low,0.463682,0.536318,74,64,0.69447,0.030301,0.626962,0.682401,0.703317,0.715744,0.72918,0.690317,0.032556,0.623131,0.672864,0.696327,0.717267,0.729375,-0.004153
i3d,all,score_raw,low,0.459311,0.540689,200,167,0.697446,0.026383,0.654606,0.683147,0.703317,0.71778,0.729488,0.692734,0.029943,0.631182,0.675777,0.700001,0.715494,0.729125,-0.004712
videomae,calibration,score_raw,low,0.463049,0.536951,74,64,0.482161,0.160429,0.225231,0.380324,0.488,0.610459,0.735393,0.452355,0.204163,0.039373,0.317821,0.477875,0.615907,0.767534,-0.029806
videomae,all,score_raw,low,0.461644,0.538356,201,167,0.467471,0.182744,0.182911,0.345841,0.467055,0.5978,0.761432,0.436987,0.208215,0.036774,0.277329,0.478189,0.578484,0.766068,-0.030483
xception_df40,calibration,score_raw,low,0.47973,0.52027,74,64,0.722134,0.192776,0.348105,0.623601,0.757326,0.865704,0.962075,0.700098,0.21589,0.272201,0.582799,0.767975,0.863674,0.971561,-0.022036
xception_df40,all,score_raw,low,0.516579,0.483421,201,167,0.735674,0.195791,0.360674,0.62093,0.780131,0.892776,0.983131,0.731276,0.228511,0.260666,0.603049,0.798769,0.915301,0.983573,-0.004398
