backend,scope,signal_source,polarity,auc_high_means_fake,effective_auc,real_count,fake_count,real_mean,real_std,real_p05,real_p25,real_p50,real_p75,real_p95,fake_mean,fake_std,fake_p05,fake_p25,fake_p50,fake_p75,fake_p95,mean_gap_fake_minus_real
efficientnet_b4,calibration,score_raw,low,0.464568,0.535432,360,360,0.354648,0.171524,0.113719,0.223631,0.343715,0.464996,0.676724,0.335125,0.171691,0.094708,0.20662,0.313238,0.434894,0.671664,-0.019523
efficientnet_b4,all,score_raw,low,0.464553,0.535447,953,967,0.3511,0.178189,0.11261,0.214363,0.320035,0.459743,0.691112,0.331604,0.18268,0.094597,0.19484,0.300003,0.445538,0.685295,-0.019496
effort_clip_l14,calibration,score_raw,low,0.497663,0.502337,359,360,0.825323,0.247385,0.262282,0.752383,0.953274,0.994267,0.999877,0.815513,0.254358,0.211502,0.720017,0.945853,0.996235,0.999966,-0.00981
effort_clip_l14,all,score_raw,low,0.514603,0.485397,952,967,0.806107,0.275849,0.150919,0.702672,0.955085,0.995296,0.999934,0.825814,0.253476,0.199065,0.756557,0.958159,0.996422,0.999934,0.019707
f3net,calibration,score_raw,high,0.524506,0.524506,360,360,0.512295,0.228359,0.137082,0.357074,0.494796,0.658993,0.942631,0.528992,0.240552,0.121982,0.37114,0.530042,0.6962,0.958094,0.016697
f3net,all,score_raw,high,0.530989,0.530989,953,965,0.51702,0.227402,0.136749,0.358869,0.506428,0.662273,0.928007,0.544594,0.241357,0.148922,0.381335,0.526709,0.70452,0.972857,0.027574
i3d,calibration,score_raw,low,0.472965,0.527035,360,359,0.693319,0.04292,0.592119,0.675637,0.709297,0.726559,0.73069,0.689312,0.043353,0.596151,0.668888,0.702467,0.725657,0.730883,-0.004007
i3d,all,score_raw,low,0.475015,0.524985,948,962,0.695907,0.03932,0.610576,0.678521,0.709974,0.725751,0.730704,0.692209,0.041127,0.600208,0.671558,0.706568,0.723935,0.730831,-0.003698
videomae,calibration,score_raw,low,0.446667,0.553333,360,360,0.490159,0.252253,0.042483,0.29649,0.491304,0.662662,0.910658,0.439595,0.265381,0.016365,0.207014,0.464774,0.650242,0.869359,-0.050564
videomae,all,score_raw,low,0.444833,0.555167,953,967,0.478136,0.262306,0.040101,0.266973,0.483832,0.669304,0.909971,0.427309,0.27036,0.021359,0.188926,0.433711,0.625352,0.888453,-0.050827
xception_df40,calibration,score_raw,low,0.479877,0.520123,360,360,0.713167,0.290219,0.149498,0.516855,0.816985,0.966241,0.999422,0.704325,0.283424,0.15123,0.511146,0.800245,0.943086,0.998507,-0.008841
xception_df40,all,score_raw,low,0.501898,0.498102,953,967,0.731136,0.276385,0.165643,0.547496,0.837569,0.966968,0.998983,0.735252,0.275159,0.157576,0.574987,0.845549,0.964094,0.998749,0.004115
