rank,winner,backend,signal_source,polarity,selected_policy,strict_gate_met,relaxed_gate_met,persistence_windows,t_on,t_off,precision,recall,f1,false_alerts_per_min,false_alert_time_ratio,time_to_first_detection_s,alert_flicker,tp_windows,fp_windows,fn_windows,tn_windows,predicted_alert_segments,false_alert_segments,fake_segments,detected_fake_segments,real_minutes,alert_active_minutes,alert_transitions,missing_windows,scored_windows,held_windows,missing_rate,run_count
1,True,videomae,score_raw,low,strict_0.10,True,True,2,0.56,0.4600000000000001,0.75,0.444444,0.55814,0.079787,0.138298,10.067905,0.277778,12,4,15,24,3,2,84,36,25.066667,14.4,4,0,55,0,0.0,5
2,False,xception_df40,score_raw,low,strict_0.10,True,True,3,0.3,0.3,0.5,0.111111,0.181818,0.079787,0.101064,16.442881,0.789474,3,3,24,25,3,2,84,8,25.066667,5.066667,4,0,55,0,0.0,5
3,False,i3d,score_raw,low,strict_0.10,True,True,2,0.31,0.26,0.157895,0.111111,0.130435,0.159574,0.56383,15.054595,0.177165,3,16,24,12,3,4,84,12,25.066667,16.933333,3,0,55,0,0.0,5
4,False,f3net,score_raw,high,strict_0.10,True,True,2,0.55,0.45000000000000007,0.5,0.481481,0.490566,0.199468,0.473404,8.610286,0.337079,13,13,14,15,5,5,84,43,25.066667,23.733333,8,0,55,0,0.0,5
5,False,effort_clip_l14,score_raw,low,strict_0.10,True,True,3,0.11,0.11,0.444444,0.444444,0.444444,0.239362,0.515957,10.787619,0.293296,12,15,15,13,6,6,84,37,25.066667,23.866667,7,0,55,0,0.0,5
6,False,efficientnet_b4,score_raw,high,strict_0.10,True,True,2,0.37,0.27,0.294118,0.185185,0.227273,0.239362,0.425532,14.514595,0.391304,5,12,22,16,4,6,84,14,25.066667,15.333333,6,0,55,0,0.0,5
