rank,winner,backend,signal_source,polarity,selected_policy,strict_gate_met,relaxed_gate_met,persistence_windows,t_on,t_off,precision,recall,f1,false_alerts_per_min,false_alert_time_ratio,time_to_first_detection_s,alert_flicker,tp_windows,fp_windows,fn_windows,tn_windows,predicted_alert_segments,false_alert_segments,fake_segments,detected_fake_segments,real_minutes,alert_active_minutes,alert_transitions,missing_windows,scored_windows,held_windows,missing_rate,run_count
1,True,videomae,score_raw,low,strict_0.10,True,True,3,0.56,0.4600000000000001,0.727273,0.150943,0.25,0.054695,0.074749,15.781179,0.47619,8,3,45,29,2,1,84,9,18.283333,6.3,3,0,85,0,0.0,5
2,False,xception_df40,score_raw,high,strict_0.10,True,True,3,0.79,0.79,0.607143,0.320755,0.419753,0.109389,0.371012,11.572321,0.41708,17,11,36,21,4,2,84,30,18.283333,16.783333,7,0,85,0,0.0,5
3,False,effort_clip_l14,score_raw,high,strict_0.10,True,True,1,0.99,0.89,0.833333,0.188679,0.307692,0.109389,0.041021,14.641655,1.554404,10,2,43,30,6,2,84,16,18.283333,6.433333,10,0,85,0,0.0,5
4,False,efficientnet_b4,score_raw,high,strict_0.10,True,True,2,0.43,0.32999999999999996,0.588235,0.188679,0.285714,0.218778,0.209663,14.658405,0.99631,10,7,43,25,6,4,84,16,18.283333,9.033333,9,0,85,0,0.0,5
5,False,f3net,score_raw,high,strict_0.10,True,True,2,0.55,0.45000000000000007,0.653846,0.641509,0.647619,0.437557,0.60711,4.918548,0.321543,34,18,19,14,6,8,84,58,18.283333,31.1,10,0,85,0,0.0,5
6,False,i3d,score_raw,low,strict_0.10,True,True,2,0.31,0.26,0.48,0.45283,0.466019,0.437557,0.79763,11.007,0.138408,24,26,29,6,4,8,84,30,18.283333,28.9,4,0,85,0,0.0,5
