rank,winner,backend,signal_source,polarity,selected_policy,strict_gate_met,relaxed_gate_met,persistence_windows,t_on,t_off,precision,recall,f1,false_alerts_per_min,false_alert_time_ratio,time_to_first_detection_s,alert_flicker,tp_windows,fp_windows,fn_windows,tn_windows,predicted_alert_segments,false_alert_segments,fake_segments,detected_fake_segments,real_minutes,alert_active_minutes,alert_transitions,missing_windows,scored_windows,held_windows,missing_rate,run_count
1,True,xception_df40,score_raw,low,strict_0.10,True,True,3,0.96,0.96,0.666667,0.010681,0.021025,0.039947,0.005326,17.533095,10.0,8,4,741,747,2,1,84,2,25.033333,0.4,4,0,1500,0,0.0,5
2,False,i3d,score_raw,low,strict_0.10,True,True,2,0.44,0.33999999999999997,0.5,0.012016,0.023468,0.11984,0.011984,17.510738,10.0,9,9,740,742,3,3,84,2,25.033333,0.6,6,28,1471,1,0.018667,5
3,False,effort_clip_l14,score_raw,low,strict_0.10,True,True,3,0.84,0.7899999999999999,0.574713,0.066756,0.119617,0.159787,0.049268,16.253452,4.137931,50,37,699,714,6,4,84,6,25.033333,2.9,12,0,1500,0,0.0,5
4,False,efficientnet_b4,score_raw,low,strict_0.10,True,True,3,0.89,0.79,0.666667,0.090788,0.159812,0.399467,0.045273,15.602429,6.176471,68,34,681,717,11,10,84,11,25.033333,3.4,21,0,1500,0,0.0,5
5,False,videomae,score_raw,low,strict_0.10,True,True,3,0.88,0.78,0.55794,0.173565,0.264766,0.719041,0.13715,13.184131,6.051502,130,103,619,648,24,18,84,24,25.033333,7.766667,47,0,1500,0,0.0,5
6,False,f3net,score_raw,high,strict_0.10,True,True,2,0.79,0.6900000000000001,0.552083,0.212283,0.306654,0.998668,0.171771,11.21931,7.291667,159,129,590,622,35,25,84,36,25.033333,9.6,70,7,1493,0,0.004667,5
