rank,winner,backend,signal_source,polarity,selected_policy,strict_gate_met,relaxed_gate_met,persistence_windows,t_on,t_off,precision,recall,f1,false_alerts_per_min,false_alert_time_ratio,time_to_first_detection_s,alert_flicker,tp_windows,fp_windows,fn_windows,tn_windows,predicted_alert_segments,false_alert_segments,fake_segments,detected_fake_segments,real_minutes,alert_active_minutes,alert_transitions,missing_windows,scored_windows,held_windows,missing_rate,run_count
1,True,xception_df40,score_raw,low,strict_0.10,True,True,2,0.52,0.52,0.47619,0.098039,0.162602,0.285714,0.112245,16.060679,1.714286,10,11,92,87,5,7,84,8,24.5,5.25,9,0,200,0,0.0,5
2,False,videomae,score_raw,low,strict_0.10,True,True,2,0.69,0.59,0.486486,0.176471,0.258993,0.367347,0.193878,14.356821,1.837838,18,19,84,79,9,9,84,15,24.5,9.25,17,0,200,0,0.0,5
3,False,efficientnet_b4,score_raw,high,strict_0.10,True,True,1,0.53,0.43000000000000005,0.514286,0.176471,0.262774,0.408163,0.173469,14.027119,3.542857,18,17,84,81,17,10,84,19,24.5,8.75,31,0,200,0,0.0,5
4,False,effort_clip_l14,score_raw,high,strict_0.10,True,True,2,0.99,0.89,0.706897,0.401961,0.5125,0.530612,0.173469,10.653786,0.758621,41,17,61,81,6,13,84,38,24.5,14.5,11,0,200,0,0.0,5
5,False,f3net,score_raw,high,strict_0.10,True,True,3,0.53,0.43000000000000005,0.619048,0.637255,0.628019,0.938776,0.408163,6.310286,0.457143,65,40,37,58,8,23,84,55,24.5,26.25,12,0,200,0,0.0,5
6,False,i3d,score_raw,high,strict_0.10,True,True,3,0.71,0.61,0.521368,0.598039,0.557078,1.020408,0.571429,7.284179,0.17094,61,56,41,42,5,25,84,45,24.5,29.25,5,3,197,0,0.015,5
