backend,signal_source,polarity,raw_auc_high_means_fake,effective_auc,selected_policy,strict_gate_met,relaxed_gate_met,threshold,t_on,t_off,persistence_windows,real_only_false_alerts_per_min,real_only_false_alert_time_ratio,target_recall,target_ttfd_s,precision,recall,f1,false_alerts_per_min,false_alert_time_ratio,time_to_first_detection_s,alert_flicker,tp_windows,fp_windows,fn_windows,tn_windows,predicted_alert_segments,false_alert_segments,fake_segments,detected_fake_segments,real_minutes,alert_active_minutes,alert_transitions,missing_windows,scored_windows,held_windows,missing_rate,run_count
efficientnet_b4,score_raw,high,0.593249,0.593249,strict_0.10,True,True,0.4,0.4,0.30000000000000004,2,0.0,0.0,0.368421,11.08676,0.538462,0.368421,0.4375,0.243655,0.259898,11.08676,0.43088,14,12,24,34,5,8,104,38,32.833333,18.566667,8,0,84,0,0.0,6
effort_clip_l14,score_raw,high,0.565789,0.565789,strict_0.10,True,True,0.87,0.87,0.77,3,0.0,0.0,0.263158,12.105212,0.384615,0.263158,0.3125,0.274112,0.348223,12.105212,0.21544,10,16,28,30,3,9,104,39,32.833333,18.566667,4,0,84,0,0.0,6
f3net,score_raw,high,0.73627,0.73627,strict_0.10,True,True,0.57,0.57,0.47,1,0.0,0.0,0.605263,8.706808,0.741935,0.605263,0.666667,0.243655,0.173604,8.706808,1.218962,23,8,15,38,16,8,104,54,32.833333,22.15,27,0,84,0,0.0,6
i3d,score_raw,low,0.475973,0.524027,strict_0.10,True,True,0.31,0.31,0.26,3,0.0,0.0,0.552632,8.013923,0.617647,0.552632,0.583333,0.152284,0.281726,8.013923,0.165062,21,13,17,33,4,5,104,58,32.833333,24.233333,4,0,84,0,0.0,6
videomae,score_raw,high,0.535469,0.535469,strict_0.10,True,True,0.43,0.43,0.38,3,0.0,0.0,0.368421,10.142481,0.388889,0.368421,0.378378,0.304569,0.477157,10.142481,0.155844,14,22,24,24,4,10,104,48,32.833333,25.666667,4,0,84,0,0.0,6
xception_df40,score_raw,low,0.459382,0.540618,strict_0.10,True,True,0.34,0.34,0.34,3,0.0,0.0,0.157895,14.539221,0.75,0.157895,0.26087,0.030457,0.04264,14.539221,0.526316,6,2,32,44,2,1,104,17,32.833333,5.7,3,0,84,0,0.0,6
