backend,split,precision,recall,f1,false_alerts_per_min,false_alert_time_ratio,time_to_first_detection_s,alert_flicker,tp_windows,fp_windows,fn_windows,tn_windows,predicted_alert_segments,false_alert_segments,fake_segments,detected_fake_segments,real_minutes,alert_active_minutes,alert_transitions,missing_windows,scored_windows,held_windows,missing_rate,run_count
always_real,validation,0.0,0.0,0.0,0.0,0.0,17.857143,0.0,0,0,222,198,0,0,504,0,141.1,0.0,0,0,420,0,0.0,30
always_real,test,0.0,0.0,0.0,0.0,0.0,18.292707,0.0,0,0,204,216,0,0,492,0,154.0,0.0,0,0,420,0,0.0,30
always_fake,validation,0.528571,1.0,0.691589,0.680369,1.0,0.0,0.0,222,198,0,0,30,96,504,504,141.1,300.0,0,0,420,0,0.0,30
always_fake,test,0.485714,1.0,0.653846,0.467532,1.0,0.0,0.0,204,216,0,0,30,72,492,492,154.0,300.0,0,0,420,0,0.0,30
