backend,scope,signal_source,polarity,auc_high_means_fake,effective_auc,real_count,fake_count,real_mean,real_std,real_p05,real_p25,real_p50,real_p75,real_p95,fake_mean,fake_std,fake_p05,fake_p25,fake_p50,fake_p75,fake_p95,mean_gap_fake_minus_real
efficientnet_b4,calibration,score_raw,high,0.593249,0.593249,46,38,0.328192,0.095636,0.155346,0.261731,0.325935,0.398851,0.493348,0.365443,0.113578,0.192475,0.275256,0.356632,0.446837,0.538046,0.037251
efficientnet_b4,all,score_raw,high,0.499322,0.499322,115,109,0.339168,0.105326,0.185336,0.262698,0.337827,0.403653,0.526972,0.343803,0.128936,0.171607,0.253278,0.341503,0.414031,0.559613,0.004635
effort_clip_l14,calibration,score_raw,high,0.565789,0.565789,46,38,0.814789,0.132531,0.616927,0.70565,0.816203,0.945794,0.988244,0.827348,0.170291,0.584627,0.733138,0.859596,0.964089,0.994735,0.012559
effort_clip_l14,all,score_raw,high,0.494695,0.494695,115,109,0.815548,0.179038,0.44453,0.732448,0.866678,0.958438,0.991771,0.816637,0.168776,0.48924,0.71719,0.849903,0.951083,0.993008,0.001089
f3net,calibration,score_raw,high,0.73627,0.73627,46,38,0.458189,0.119049,0.244254,0.392413,0.458137,0.54064,0.656241,0.596178,0.161411,0.327253,0.479696,0.583388,0.727315,0.829132,0.137989
f3net,all,score_raw,high,0.667571,0.667571,115,109,0.481494,0.131101,0.248656,0.404148,0.480833,0.564286,0.681712,0.582644,0.169204,0.310161,0.446793,0.584406,0.71467,0.852169,0.10115
i3d,calibration,score_raw,low,0.475973,0.524027,46,38,0.69197,0.022192,0.648586,0.681765,0.69421,0.706725,0.721874,0.690479,0.023749,0.658107,0.672421,0.69059,0.711715,0.722423,-0.001491
i3d,all,score_raw,low,0.468448,0.531552,115,109,0.695571,0.020538,0.65816,0.684082,0.697281,0.710024,0.722818,0.692773,0.023031,0.657291,0.676544,0.695601,0.710624,0.72427,-0.002798
videomae,calibration,score_raw,high,0.535469,0.535469,46,38,0.460637,0.129448,0.277344,0.36785,0.4517,0.553511,0.667855,0.470634,0.183155,0.155966,0.357279,0.474467,0.635223,0.722098,0.009997
videomae,all,score_raw,high,0.463422,0.463422,115,109,0.465971,0.146661,0.237182,0.363717,0.456721,0.58289,0.70682,0.438511,0.192298,0.118287,0.314781,0.440168,0.573283,0.727323,-0.02746
xception_df40,calibration,score_raw,low,0.459382,0.540618,46,38,0.718854,0.167827,0.402189,0.590747,0.744707,0.854814,0.948218,0.696861,0.163301,0.390643,0.590566,0.711837,0.831117,0.905506,-0.021993
xception_df40,all,score_raw,low,0.464938,0.535062,115,109,0.747511,0.163261,0.435609,0.632355,0.773446,0.882411,0.956936,0.718019,0.190764,0.373257,0.601018,0.747636,0.860808,0.973368,-0.029491
