backend,scope,signal_source,polarity,auc_high_means_fake,effective_auc,real_count,fake_count,real_mean,real_std,real_p05,real_p25,real_p50,real_p75,real_p95,fake_mean,fake_std,fake_p05,fake_p25,fake_p50,fake_p75,fake_p95,mean_gap_fake_minus_real
efficientnet_b4,calibration,score_raw,low,0.464665,0.535335,601,599,0.354817,0.177379,0.109358,0.214054,0.340407,0.464909,0.726562,0.334922,0.178855,0.094407,0.199148,0.307613,0.444859,0.675762,-0.019895
efficientnet_b4,all,score_raw,low,0.464411,0.535589,1596,1604,0.350985,0.184185,0.106927,0.210671,0.317833,0.464518,0.711334,0.331625,0.19022,0.088917,0.183641,0.296608,0.449829,0.697867,-0.01936
effort_clip_l14,calibration,score_raw,low,0.499182,0.500818,600,599,0.824915,0.255312,0.264237,0.746809,0.961483,0.996706,0.999912,0.816059,0.261215,0.199502,0.710604,0.955404,0.997244,0.999971,-0.008856
effort_clip_l14,all,score_raw,low,0.515408,0.484592,1595,1604,0.805511,0.28439,0.105425,0.711902,0.960556,0.997085,0.999954,0.826567,0.260263,0.188704,0.766024,0.96742,0.997387,0.999955,0.021056
f3net,calibration,score_raw,high,0.523493,0.523493,601,599,0.511809,0.234706,0.137795,0.344193,0.501222,0.670269,0.951383,0.529508,0.251438,0.096797,0.353996,0.54201,0.698111,0.969736,0.017699
f3net,all,score_raw,high,0.52774,0.52774,1596,1600,0.517688,0.234825,0.13061,0.353506,0.506927,0.677403,0.946287,0.544172,0.251426,0.133331,0.366582,0.528211,0.720995,0.984092,0.026484
i3d,calibration,score_raw,low,0.479787,0.520213,601,597,0.693016,0.045689,0.582543,0.674757,0.711167,0.727526,0.73085,0.689632,0.045687,0.591004,0.665754,0.705814,0.727057,0.730965,-0.003384
i3d,all,score_raw,low,0.475187,0.524813,1587,1592,0.69584,0.042273,0.601649,0.678947,0.712976,0.72713,0.730864,0.692173,0.043605,0.599341,0.668237,0.709246,0.726243,0.730925,-0.003667
videomae,calibration,score_raw,low,0.449385,0.550615,601,599,0.488798,0.266409,0.03154,0.288146,0.49842,0.694563,0.915222,0.440877,0.27792,0.013482,0.196126,0.45713,0.64332,0.89815,-0.047922
videomae,all,score_raw,low,0.446568,0.553432,1596,1604,0.478108,0.275314,0.032605,0.257843,0.480369,0.691526,0.933839,0.427094,0.282664,0.016598,0.178023,0.425284,0.637667,0.917727,-0.051014
xception_df40,calibration,score_raw,low,0.489701,0.510299,601,599,0.707028,0.304559,0.108395,0.482547,0.822817,0.971342,0.999525,0.71047,0.289105,0.130508,0.495199,0.814614,0.96019,0.99913,0.003441
xception_df40,all,score_raw,low,0.50585,0.49415,1596,1604,0.727754,0.289898,0.137656,0.523617,0.846975,0.974158,0.999402,0.738636,0.282192,0.13131,0.566214,0.8592,0.972535,0.999396,0.010882
