backend,signal_source,polarity,raw_auc_high_means_fake,effective_auc,selected_policy,strict_gate_met,relaxed_gate_met,threshold,t_on,t_off,persistence_windows,real_only_false_alerts_per_min,real_only_false_alert_time_ratio,target_recall,target_ttfd_s,precision,recall,f1,false_alerts_per_min,false_alert_time_ratio,time_to_first_detection_s,alert_flicker,tp_windows,fp_windows,fn_windows,tn_windows,predicted_alert_segments,false_alert_segments,fake_segments,detected_fake_segments,real_minutes,alert_active_minutes,alert_transitions,missing_windows,scored_windows,held_windows,missing_rate,run_count
efficientnet_b4,score_raw,low,0.464665,0.535335,strict_0.10,True,True,0.88,0.88,0.78,2,0.1,0.02,0.125209,14.35376,0.619835,0.125209,0.208333,0.399334,0.076539,14.35376,4.793388,75,46,524,555,15,12,104,17,30.05,6.05,29,0,1200,0,0.0,6
effort_clip_l14,score_raw,low,0.499182,0.500818,strict_0.10,True,True,0.84,0.84,0.7899999999999999,3,0.1,0.025,0.043406,16.359837,0.666667,0.043406,0.081505,0.133111,0.021631,16.359837,3.589744,26,13,573,588,4,4,104,4,30.05,1.95,7,1,1198,1,0.000833,6
f3net,score_raw,high,0.523493,0.523493,strict_0.10,True,True,0.75,0.75,0.65,3,0.1,0.015,0.238731,11.296202,0.613734,0.238731,0.34375,0.965058,0.14975,11.296202,5.83691,143,90,456,511,35,29,104,46,30.05,11.65,68,0,1200,0,0.0,6
i3d,score_raw,low,0.479787,0.520213,strict_0.10,True,True,0.45,0.45,0.35,1,0.1,0.025,0.020033,16.606163,0.571429,0.020033,0.03871,0.066556,0.014975,16.606163,8.571429,12,9,587,592,5,2,104,4,30.05,1.05,9,2,1197,1,0.001667,6
videomae,score_raw,low,0.449385,0.550615,strict_0.10,True,True,0.92,0.92,0.8200000000000001,2,0.1,0.02,0.136895,13.494115,0.66129,0.136895,0.226833,0.399334,0.069884,13.494115,5.806452,82,42,517,559,18,12,104,22,30.05,6.2,36,0,1200,0,0.0,6
xception_df40,score_raw,low,0.489701,0.510299,strict_0.10,True,True,0.92,0.92,0.92,3,0.1,0.025,0.016694,16.820846,0.47619,0.016694,0.032258,0.099834,0.018303,16.820846,7.619048,10,11,589,590,4,3,104,4,30.05,1.05,8,0,1200,0,0.0,6
