rank,winner,backend,signal_source,polarity,selected_policy,strict_gate_met,relaxed_gate_met,persistence_windows,t_on,t_off,precision,recall,f1,false_alerts_per_min,false_alert_time_ratio,time_to_first_detection_s,alert_flicker,tp_windows,fp_windows,fn_windows,tn_windows,predicted_alert_segments,false_alert_segments,fake_segments,detected_fake_segments,real_minutes,alert_active_minutes,alert_transitions,missing_windows,scored_windows,held_windows,missing_rate,run_count
1,True,i3d,score_raw,low,strict_0.10,True,True,3,0.32,0.27,0.0,0.0,0.0,0.039474,0.342105,17.857143,0.115385,0,26,74,50,1,1,84,0,25.333333,8.666667,1,1,148,1,0.006667,5
2,False,videomae,score_raw,low,strict_0.10,True,True,3,0.58,0.48,0.509091,0.378378,0.434109,0.236842,0.355263,10.78781,0.490909,28,27,46,49,6,6,84,31,25.333333,18.333333,9,0,150,0,0.0,5
3,False,xception_df40,score_raw,low,strict_0.10,True,True,3,0.34,0.24000000000000002,0.4,0.135135,0.20202,0.236842,0.197368,15.204643,0.72,10,15,64,61,4,6,84,12,25.333333,8.333333,6,0,150,0,0.0,5
4,False,effort_clip_l14,score_raw,high,strict_0.10,True,True,2,0.99,0.89,0.72973,0.364865,0.486486,0.355263,0.131579,11.585714,0.810811,27,10,47,66,5,9,84,31,25.333333,12.333333,10,0,150,0,0.0,5
5,False,f3net,score_raw,high,strict_0.10,True,True,3,0.51,0.41000000000000003,0.549451,0.675676,0.606061,0.592105,0.539474,6.020536,0.296703,50,41,24,35,6,15,84,55,25.333333,30.333333,9,0,150,0,0.0,5
6,False,efficientnet_b4,score_raw,low,strict_0.10,True,True,3,0.7,0.6,0.534247,0.527027,0.530612,0.710526,0.447368,8.204643,0.369863,39,34,35,42,6,18,84,45,25.333333,24.333333,9,0,150,0,0.0,5
