backend,scope,signal_source,polarity,auc_high_means_fake,effective_auc,real_count,fake_count,real_mean,real_std,real_p05,real_p25,real_p50,real_p75,real_p95,fake_mean,fake_std,fake_p05,fake_p25,fake_p50,fake_p75,fake_p95,mean_gap_fake_minus_real
efficientnet_b4,calibration,score_raw,low,0.498884,0.501116,32,28,0.344928,0.089968,0.195688,0.286491,0.352686,0.40063,0.471719,0.344838,0.105734,0.159352,0.280688,0.350915,0.401732,0.49799,-9e-05
efficientnet_b4,all,score_raw,low,0.514299,0.485701,81,79,0.336138,0.091939,0.190942,0.267641,0.34527,0.401835,0.489528,0.346553,0.107097,0.160762,0.275595,0.340813,0.40218,0.571407,0.010415
effort_clip_l14,calibration,score_raw,high,0.52567,0.52567,32,28,0.816652,0.129585,0.589209,0.732636,0.813813,0.937672,0.974864,0.824952,0.141352,0.608508,0.755931,0.857756,0.926099,0.98343,0.0083
effort_clip_l14,all,score_raw,high,0.544304,0.544304,81,79,0.804718,0.150994,0.528094,0.719313,0.823848,0.936397,0.974286,0.827736,0.136671,0.595728,0.738329,0.867602,0.940134,0.984732,0.023018
f3net,calibration,score_raw,high,0.579241,0.579241,32,28,0.501446,0.138754,0.29827,0.412876,0.493215,0.585585,0.724422,0.542583,0.142386,0.331623,0.46589,0.519959,0.605442,0.775512,0.041136
f3net,all,score_raw,high,0.681825,0.681825,81,79,0.485136,0.129313,0.268015,0.398481,0.491595,0.571579,0.681281,0.577886,0.136705,0.378439,0.483492,0.574364,0.6567,0.821343,0.09275
i3d,calibration,score_raw,low,0.376116,0.623884,32,28,0.695491,0.020543,0.653569,0.68556,0.696485,0.708858,0.721903,0.686466,0.019985,0.655603,0.669466,0.693098,0.699558,0.714248,-0.009025
i3d,all,score_raw,low,0.434755,0.565245,81,79,0.696312,0.018832,0.665355,0.68527,0.697741,0.710949,0.721537,0.691684,0.019484,0.655787,0.679718,0.697566,0.70505,0.716474,-0.004628
videomae,calibration,score_raw,high,0.516741,0.516741,32,28,0.465932,0.137091,0.26977,0.355556,0.451157,0.553569,0.701395,0.463672,0.13099,0.213135,0.387463,0.458889,0.557195,0.658563,-0.002261
videomae,all,score_raw,high,0.526645,0.526645,81,79,0.447506,0.138799,0.212615,0.365047,0.447287,0.542807,0.664658,0.457696,0.13883,0.221406,0.363118,0.4604,0.55874,0.679828,0.01019
xception_df40,calibration,score_raw,low,0.456473,0.543527,32,28,0.72376,0.130157,0.509003,0.634577,0.761235,0.801434,0.919475,0.691588,0.146292,0.50855,0.603884,0.730324,0.809514,0.867804,-0.032172
xception_df40,all,score_raw,low,0.50586,0.49414,81,79,0.735564,0.141222,0.504645,0.664167,0.761964,0.836385,0.927472,0.730794,0.16948,0.480671,0.620728,0.755529,0.861758,0.969115,-0.00477
