backend,split,precision,recall,f1,false_alerts_per_min,false_alert_time_ratio,time_to_first_detection_s,alert_flicker,tp_windows,fp_windows,fn_windows,tn_windows,predicted_alert_segments,false_alert_segments,fake_segments,detected_fake_segments,real_minutes,alert_active_minutes,alert_transitions,missing_windows,scored_windows,held_windows,missing_rate,run_count
always_real,validation,0.0,0.0,0.0,0.0,0.0,17.857143,0.0,0,0,222,228,0,0,504,0,152.0,0.0,0,0,449,1,0.0,30
always_real,test,0.0,0.0,0.0,0.0,0.0,18.292707,0.0,0,0,210,240,0,0,492,0,160.0,0.0,0,0,450,0,0.0,30
always_fake,validation,0.493333,1.0,0.660714,0.513158,1.0,0.0,0.0,222,228,0,0,30,78,504,504,152.0,300.0,0,0,449,1,0.0,30
always_fake,test,0.466667,1.0,0.636364,0.4875,1.0,0.0,0.0,210,240,0,0,30,78,492,492,160.0,300.0,0,0,450,0,0.0,30
