backend,old_status,new_status,old_policy,new_policy,operating_point_changed,old_polarity,new_polarity,old_threshold,new_threshold,old_t_on,new_t_on,old_t_off,new_t_off,old_persistence_windows,new_persistence_windows,old_calibration_fpr_real,new_calibration_fpr_real,old_validation_auroc,new_validation_auroc,old_validation_f1,new_validation_f1,old_validation_recall,new_validation_recall,old_validation_false_alerts_per_min,new_validation_false_alerts_per_min,old_test_auroc,new_test_auroc,old_test_f1,new_test_f1,old_test_recall,new_test_recall,old_test_false_alerts_per_min,new_test_false_alerts_per_min,val_auroc_change,val_f1_change,val_recall_change,val_fa_per_min_change,test_auroc_change,test_f1_change,test_recall_change,test_fa_per_min_change
efficientnet_b4,selected,selected,strict_bootstrap_ucb_gate,strict_fpr_gate,True,high,high,0.99,0.95,0.99,0.95,0.89,0.95,2,3,,0.043232,0.523352,0.523352,0.141064,0.195149,0.078562,0.11518,0.280374,0.520694,0.534503,0.534503,0.051713,0.084277,0.02672,0.044756,0.03992,0.11976,unchanged,improved,improved,worsened,unchanged,improved,improved,worsened
effort_clip_l14,selected,selected,strict_bootstrap_ucb_gate,strict_fpr_gate,True,high,high,0.51,0.51,0.51,0.51,0.51,0.51,1,1,,0.0,0.502744,0.502744,0.0,0.0,0.0,0.0,0.0,0.0,0.576485,0.576485,0.0,0.0,0.0,0.0,0.0,0.0,unchanged,unchanged,unchanged,unchanged,unchanged,unchanged,unchanged,unchanged
f3net,failed_gate,selected,,strict_fpr_gate,True,high,high,,0.97,,0.97,,0.97,,3,,0.048553,0.551481,0.551481,,0.304643,,0.194407,,0.680908,0.615509,0.615509,,0.198977,,0.1169,,0.479042,unchanged,unknown,unknown,unknown,unchanged,unknown,unknown,unknown
i3d,selected,selected,strict_bootstrap_ucb_gate,strict_fpr_gate,True,high,high,0.74,0.74,0.74,0.74,0.74,0.74,1,1,,0.0,0.50566,0.50566,0.0,0.0,0.0,0.0,0.0,0.0,0.540999,0.540999,0.0,0.0,0.0,0.0,0.0,0.0,unchanged,unchanged,unchanged,unchanged,unchanged,unchanged,unchanged,unchanged
videomae,selected,selected,strict_bootstrap_ucb_gate,strict_fpr_gate,True,low,low,0.52,0.52,0.52,0.52,0.52,0.52,1,1,,0.0,0.524524,0.524524,0.0,0.0,0.0,0.0,0.040053,0.040053,0.441499,0.441499,0.0,0.0,0.0,0.0,0.0,0.0,unchanged,unchanged,unchanged,unchanged,unchanged,unchanged,unchanged,unchanged
xception_df40,failed_gate,selected,,relaxed_fpr_gate,True,high,high,,0.99,,0.99,,0.99,,1,,0.0858,0.535897,0.535897,,0.237108,,0.148469,,2.082777,0.588409,0.588409,,0.269189,,0.166333,,1.596806,unchanged,unknown,unknown,unknown,unchanged,unknown,unknown,unknown
