backend,scope,signal_source,polarity,auc_high_means_fake,effective_auc,real_count,fake_count,real_mean,real_std,real_p05,real_p25,real_p50,real_p75,real_p95,fake_mean,fake_std,fake_p05,fake_p25,fake_p50,fake_p75,fake_p95,mean_gap_fake_minus_real
efficientnet_b4,calibration,score_raw,high,0.58019,0.58019,3007,2389,0.527702,0.269696,0.115826,0.300611,0.518159,0.762003,0.957105,0.601786,0.26111,0.149845,0.394847,0.620322,0.829296,0.979744,0.074085
efficientnet_b4,all,score_raw,high,0.550752,0.550752,6008,5388,0.525648,0.267793,0.107475,0.302069,0.518183,0.757927,0.950839,0.572534,0.275199,0.11152,0.350772,0.58648,0.814636,0.979655,0.046886
effort_clip_l14,calibration,score_raw,high,0.507938,0.507938,3007,2389,0.502931,2.5e-05,0.502896,0.502925,0.502936,0.502943,0.502954,0.502933,1.5e-05,0.502909,0.502924,0.502935,0.502945,0.502953,3e-06
effort_clip_l14,all,score_raw,high,0.528017,0.528017,6008,5388,0.502932,2.4e-05,0.502899,0.502925,0.502937,0.502944,0.502955,0.502934,2e-05,0.502909,0.502926,0.502937,0.502946,0.502956,2e-06
f3net,calibration,score_raw,high,0.562936,0.562936,3007,2389,0.520555,0.300368,0.047882,0.254203,0.514879,0.787806,0.979332,0.585529,0.296738,0.076397,0.352285,0.611525,0.867922,0.989592,0.064974
f3net,all,score_raw,high,0.573698,0.573698,6008,5388,0.519094,0.305637,0.043128,0.249869,0.516815,0.790186,0.984452,0.596346,0.306644,0.067992,0.352297,0.621631,0.89834,0.992342,0.077252
i3d,calibration,score_raw,high,0.519872,0.519872,3007,2389,0.686453,0.035768,0.626254,0.6603,0.690139,0.719624,0.730666,0.689509,0.034256,0.631617,0.664801,0.694185,0.721266,0.730338,0.003056
i3d,all,score_raw,high,0.521694,0.521694,6008,5388,0.685988,0.036913,0.625824,0.656305,0.690416,0.721989,0.730764,0.689308,0.034706,0.630441,0.664048,0.694124,0.721275,0.730845,0.00332
videomae,calibration,score_raw,low,0.475003,0.524997,3007,2389,0.496558,0.008462,0.487159,0.491201,0.493224,0.501091,0.513885,0.495748,0.008186,0.485991,0.490918,0.492934,0.498587,0.513517,-0.000809
videomae,all,score_raw,low,0.497558,0.502442,6008,5388,0.496415,0.008334,0.486748,0.491303,0.493348,0.500278,0.51384,0.496403,0.008422,0.486078,0.491255,0.493344,0.500699,0.51432,-1.1e-05
xception_df40,calibration,score_raw,high,0.579908,0.579908,3007,2389,0.613078,0.318319,0.055303,0.337606,0.670106,0.921836,0.996371,0.694646,0.314256,0.071346,0.468039,0.827062,0.960984,0.998392,0.081568
xception_df40,all,score_raw,high,0.570934,0.570934,6008,5388,0.621841,0.317035,0.05859,0.344946,0.694617,0.921861,0.996644,0.690054,0.313531,0.06934,0.455479,0.810132,0.96477,0.999066,0.068212
